# distance (nm)	f (kT)	df (kT)
  0.0133	  1.4930	  0.0067
  0.0400	  0.0000	  0.0000
  0.0667	  0.3981	  0.0060
  0.0933	  2.1427	  0.0117
  0.1200	  3.6512	  0.0242
  0.1467	  4.5258	  0.0348
  0.1733	  5.1566	  0.0436
  0.2000	  5.1931	  0.0419
  0.2267	  5.0261	  0.0355
  0.2533	  4.7715	  0.0282
  0.2800	  4.4906	  0.0216
  0.3067	  4.3044	  0.0169
  0.3333	  4.3473	  0.0147
  0.3600	  4.5888	  0.0138
  0.3867	  5.0565	  0.0141
  0.4133	  5.5989	  0.0148
  0.4400	  6.2756	  0.0162
  0.4667	  6.9931	  0.0177
  0.4933	  7.7137	  0.0191
  0.5200	  8.4156	  0.0201
  0.5467	  8.5725	  0.0168
  0.5733	  8.3455	  0.0130
  0.6000	  8.5832	  0.0117
  0.6267	  9.2719	  0.0116
  0.6533	 10.2639	  0.0122
  0.6800	 11.4173	  0.0131
  0.7067	 12.5835	  0.0142
  0.7333	 13.8994	  0.0160
  0.7600	 15.3188	  0.0187
  0.7867	 16.4695	  0.0189
