# distance (nm)	f (kT)	df (kT)
  0.0133	  6.8456	  0.0127
  0.0400	  4.8364	  0.0116
  0.0667	  4.6853	  0.0120
  0.0933	  5.8189	  0.0156
  0.1200	  6.6475	  0.0263
  0.1467	  6.8497	  0.0364
  0.1733	  6.8203	  0.0450
  0.2000	  6.2113	  0.0430
  0.2267	  5.3863	  0.0366
  0.2533	  4.4816	  0.0293
  0.2800	  3.5641	  0.0226
  0.3067	  2.7437	  0.0180
  0.3333	  2.1606	  0.0157
  0.3600	  1.7700	  0.0146
  0.3867	  1.6060	  0.0146
  0.4133	  1.5132	  0.0150
  0.4400	  1.5507	  0.0161
  0.4667	  1.6286	  0.0174
  0.4933	  1.7089	  0.0186
  0.5200	  1.7653	  0.0193
  0.5467	  1.2359	  0.0159
  0.5733	  0.3773	  0.0116
  0.6000	  0.0000	  0.0000
  0.6267	  0.0710	  0.0098
  0.6533	  0.4307	  0.0103
  0.6800	  0.9456	  0.0113
  0.7067	  1.4769	  0.0124
  0.7333	  2.1579	  0.0142
  0.7600	  2.9359	  0.0171
  0.7867	  3.0826	  0.0147
