# distance (nm)	f (kT)	df (kT)
  0.0040	  3.6506	  0.1010
  0.0120	  1.7063	  0.0435
  0.0200	  0.7357	  0.0315
  0.0280	  0.1483	  0.0271
  0.0360	  0.0000	  0.0000
  0.0440	  0.0138	  0.0263
  0.0520	  0.3018	  0.0280
  0.0600	  0.7639	  0.0310
  0.0680	  1.5390	  0.0390
  0.0760	  2.3176	  0.0524
  0.0840	  3.0224	  0.0750
  0.0920	  3.5739	  0.1007
  0.1000	  3.9510	  0.1201
  0.1080	  4.4941	  0.1506
  0.1160	  4.7314	  0.1546
  0.1240	  5.4519	  0.2094
  0.1320	  5.6709	  0.2351
  0.1400	  6.6664	  0.3363
  0.1480	  6.0177	  0.2473
  0.1560	  7.0595	  0.3090
  0.1640	  7.1104	  0.3824
  0.1720	  6.7796	  0.3193
  0.1800	  7.1819	  0.3935
  0.1880	  6.7069	  0.3489
  0.1960	  6.4244	  0.3097
  0.2040	  6.8821	  0.3434
  0.2120	  6.1032	  0.3025
  0.2200	  6.2576	  0.3030
  0.2280	  5.9431	  0.2805
  0.2360	  5.7596	  0.2709
  0.2440	  5.2401	  0.2266
  0.2520	  5.1764	  0.2316
  0.2600	  4.4408	  0.1638
  0.2680	  4.6420	  0.1904
  0.2760	  4.3571	  0.1693
  0.2840	  4.3606	  0.1670
  0.2920	  3.6781	  0.1234
  0.3000	  3.4963	  0.1147
  0.3080	  3.4487	  0.1119
  0.3160	  3.2328	  0.1006
  0.3240	  3.0873	  0.0935
  0.3320	  2.9558	  0.0884
  0.3400	  2.8657	  0.0820
  0.3480	  2.7758	  0.0777
  0.3560	  2.9198	  0.0806
  0.3640	  2.7624	  0.0741
  0.3720	  2.7899	  0.0728
  0.3800	  2.9858	  0.0772
  0.3880	  3.1287	  0.0794
  0.3960	  3.2835	  0.0817
  0.4040	  3.2536	  0.0784
  0.4120	  3.4173	  0.0808
  0.4200	  3.6176	  0.0843
  0.4280	  3.8138	  0.0894
  0.4360	  3.8888	  0.0893
  0.4440	  4.1130	  0.0926
  0.4520	  4.0675	  0.0887
  0.4600	  4.5304	  0.1020
  0.4680	  4.6894	  0.1054
  0.4760	  4.9330	  0.1111
  0.4840	  4.9670	  0.1092
  0.4920	  5.1446	  0.1109
  0.5000	  5.3025	  0.1148
  0.5080	  5.5245	  0.1204
  0.5160	  5.5915	  0.1149
  0.5240	  5.7521	  0.1174
  0.5320	  6.0846	  0.1276
  0.5400	  6.2016	  0.1240
  0.5480	  6.2741	  0.1152
  0.5560	  5.9831	  0.0954
  0.5640	  5.8469	  0.0824
  0.5720	  5.6259	  0.0720
  0.5800	  5.4574	  0.0648
  0.5880	  5.3512	  0.0605
  0.5960	  5.3706	  0.0578
  0.6040	  5.3054	  0.0546
  0.6120	  5.4029	  0.0535
  0.6200	  5.4928	  0.0527
  0.6280	  5.7728	  0.0547
  0.6360	  5.8828	  0.0539
  0.6440	  6.1053	  0.0548
  0.6520	  6.4114	  0.0569
  0.6600	  6.7343	  0.0595
  0.6680	  6.9517	  0.0599
  0.6760	  7.2909	  0.0626
  0.6840	  7.5642	  0.0643
  0.6920	  7.9132	  0.0679
  0.7000	  8.2264	  0.0706
  0.7080	  8.4896	  0.0714
  0.7160	  8.7927	  0.0745
  0.7240	  8.9974	  0.0745
  0.7320	  9.4101	  0.0807
  0.7400	  9.7882	  0.0866
  0.7480	 10.4119	  0.1017
  0.7560	 10.5277	  0.0978
  0.7640	 11.0564	  0.1099
  0.7720	 11.4678	  0.1195
  0.7800	 11.6922	  0.1201
  0.7880	 12.0524	  0.1276
  0.7960	 11.2374	  0.0697
