# distance (nm)	f (kT)	df (kT)
  0.0040	  3.7542	  0.1011
  0.0120	  1.7706	  0.0436
  0.0200	  0.7631	  0.0316
  0.0280	  0.1522	  0.0271
  0.0360	  0.0000	  0.0000
  0.0440	  0.0280	  0.0265
  0.0520	  0.3481	  0.0283
  0.0600	  0.8608	  0.0319
  0.0680	  1.6679	  0.0422
  0.0760	  2.4528	  0.0593
  0.0840	  3.0792	  0.0837
  0.0920	  3.5591	  0.1103
  0.1000	  3.8880	  0.1267
  0.1080	  4.4211	  0.1626
  0.1160	  4.6796	  0.1674
  0.1240	  5.3873	  0.2285
  0.1320	  5.5429	  0.2534
  0.1400	  6.6303	  0.3847
  0.1480	  5.8799	  0.2692
  0.1560	  7.0537	  0.3451
  0.1640	  6.9378	  0.4218
  0.1720	  6.5474	  0.3462
  0.1800	  6.8950	  0.4370
  0.1880	  6.2821	  0.3961
  0.1960	  5.9072	  0.3300
  0.2040	  6.4102	  0.4001
  0.2120	  5.3761	  0.3254
  0.2200	  5.4868	  0.3248
  0.2280	  5.0819	  0.3092
  0.2360	  4.7777	  0.3030
  0.2440	  4.1255	  0.2389
  0.2520	  3.9400	  0.2442
  0.2600	  3.1251	  0.1753
  0.2680	  3.2113	  0.2018
  0.2760	  2.8225	  0.1787
  0.2840	  2.7670	  0.1816
  0.2920	  1.9718	  0.1316
  0.3000	  1.6802	  0.1210
  0.3080	  1.5439	  0.1191
  0.3160	  1.2458	  0.1060
  0.3240	  1.0116	  0.0975
  0.3320	  0.7729	  0.0916
  0.3400	  0.6284	  0.0857
  0.3480	  0.4686	  0.0805
  0.3560	  0.5441	  0.0840
  0.3640	  0.2973	  0.0766
  0.3720	  0.2673	  0.0754
  0.3800	  0.3866	  0.0799
  0.3880	  0.4726	  0.0824
  0.3960	  0.5759	  0.0848
  0.4040	  0.4687	  0.0814
  0.4120	  0.5916	  0.0839
  0.4200	  0.7349	  0.0875
  0.4280	  0.8516	  0.0930
  0.4360	  0.8597	  0.0922
  0.4440	  1.0478	  0.0964
  0.4520	  0.9199	  0.0913
  0.4600	  1.3604	  0.1067
  0.4680	  1.4396	  0.1100
  0.4760	  1.6350	  0.1157
  0.4840	  1.5847	  0.1134
  0.4920	  1.7169	  0.1168
  0.5000	  1.7889	  0.1202
  0.5080	  1.9564	  0.1258
  0.5160	  1.9865	  0.1208
  0.5240	  2.0849	  0.1235
  0.5320	  2.3777	  0.1350
  0.5400	  2.4506	  0.1329
  0.5480	  2.5213	  0.1271
  0.5560	  2.1673	  0.1032
  0.5640	  2.0063	  0.0891
  0.5720	  1.7043	  0.0767
  0.5800	  1.4473	  0.0686
  0.5880	  1.2292	  0.0633
  0.5960	  1.1866	  0.0605
  0.6040	  1.0243	  0.0567
  0.6120	  1.0581	  0.0554
  0.6200	  1.0618	  0.0544
  0.6280	  1.2699	  0.0564
  0.6360	  1.3073	  0.0555
  0.6440	  1.4567	  0.0563
  0.6520	  1.7030	  0.0586
  0.6600	  1.9620	  0.0613
  0.6680	  2.1196	  0.0618
  0.6760	  2.4135	  0.0648
  0.6840	  2.6216	  0.0666
  0.6920	  2.9035	  0.0705
  0.7000	  3.1518	  0.0733
  0.7080	  3.3759	  0.0747
  0.7160	  3.5936	  0.0774
  0.7240	  3.7334	  0.0772
  0.7320	  4.0775	  0.0838
  0.7400	  4.3906	  0.0897
  0.7480	  4.9706	  0.1063
  0.7560	  4.9961	  0.1016
  0.7640	  5.4912	  0.1155
  0.7720	  5.8409	  0.1254
  0.7800	  5.9898	  0.1260
  0.7880	  6.3025	  0.1326
  0.7960	  5.2601	  0.0686
