# distance (nm)	f (kT)	df (kT)
  0.0040	 14.1230	  0.1100
  0.0120	 11.9891	  0.0614
  0.0200	 10.7718	  0.0535
  0.0280	  9.8958	  0.0508
  0.0360	  9.4198	  0.0503
  0.0440	  9.0537	  0.0501
  0.0520	  8.9121	  0.0507
  0.0600	  8.8899	  0.0518
  0.0680	  9.1658	  0.0550
  0.0760	  9.4590	  0.0592
  0.0840	  9.8935	  0.0687
  0.0920	 10.3274	  0.0855
  0.1000	 10.6095	  0.1094
  0.1080	 10.8027	  0.1308
  0.1160	 10.6529	  0.1340
  0.1240	 11.0766	  0.1780
  0.1320	 10.9989	  0.1874
  0.1400	 11.4836	  0.2413
  0.1480	 10.8785	  0.2159
  0.1560	 11.1481	  0.2427
  0.1640	 11.2458	  0.2848
  0.1720	 10.7325	  0.2575
  0.1800	 10.8840	  0.2957
  0.1880	 10.3309	  0.2629
  0.1960	 10.0331	  0.2611
  0.2040	  9.8915	  0.2436
  0.2120	  9.4600	  0.2456
  0.2200	  9.3514	  0.2541
  0.2280	  8.9681	  0.2393
  0.2360	  8.5998	  0.2141
  0.2440	  8.1389	  0.1959
  0.2520	  7.9839	  0.2016
  0.2600	  7.1136	  0.1457
  0.2680	  7.2185	  0.1647
  0.2760	  6.8290	  0.1500
  0.2840	  6.5641	  0.1401
  0.2920	  5.8868	  0.1137
  0.3000	  5.6086	  0.1084
  0.3080	  5.3737	  0.1027
  0.3160	  5.0668	  0.0968
  0.3240	  4.8276	  0.0938
  0.3320	  4.5873	  0.0889
  0.3400	  4.2584	  0.0829
  0.3480	  4.0428	  0.0801
  0.3560	  3.9613	  0.0816
  0.3640	  3.6754	  0.0765
  0.3720	  3.5025	  0.0751
  0.3800	  3.5096	  0.0785
  0.3880	  3.4454	  0.0806
  0.3960	  3.3928	  0.0831
  0.4040	  3.1737	  0.0794
  0.4120	  3.1275	  0.0818
  0.4200	  3.0745	  0.0835
  0.4280	  3.1092	  0.0879
  0.4360	  3.0228	  0.0888
  0.4440	  2.9474	  0.0904
  0.4520	  2.8038	  0.0879
  0.4600	  2.9313	  0.0969
  0.4680	  2.9275	  0.1004
  0.4760	  2.9491	  0.1061
  0.4840	  2.8559	  0.1051
  0.4920	  2.7495	  0.1048
  0.5000	  2.7214	  0.1054
  0.5080	  2.7915	  0.1132
  0.5160	  2.5692	  0.1064
  0.5240	  2.5373	  0.1078
  0.5320	  2.5742	  0.1113
  0.5400	  2.4001	  0.1071
  0.5480	  2.0949	  0.0969
  0.5560	  1.6531	  0.0831
  0.5640	  1.2538	  0.0732
  0.5720	  0.9235	  0.0665
  0.5800	  0.6287	  0.0613
  0.5880	  0.4681	  0.0591
  0.5960	  0.2958	  0.0568
  0.6040	  0.1417	  0.0547
  0.6120	  0.0427	  0.0537
  0.6200	  0.0000	  0.0000
  0.6280	  0.1156	  0.0551
  0.6360	  0.0575	  0.0544
  0.6440	  0.1071	  0.0551
  0.6520	  0.1960	  0.0565
  0.6600	  0.3083	  0.0583
  0.6680	  0.3371	  0.0590
  0.6760	  0.4394	  0.0611
  0.6840	  0.5367	  0.0629
  0.6920	  0.6664	  0.0651
  0.7000	  0.8016	  0.0681
  0.7080	  0.8094	  0.0683
  0.7160	  0.9762	  0.0716
  0.7240	  0.9973	  0.0716
  0.7320	  1.2339	  0.0775
  0.7400	  1.4126	  0.0817
  0.7480	  1.7944	  0.0950
  0.7560	  1.7815	  0.0929
  0.7640	  2.0243	  0.1023
  0.7720	  2.2395	  0.1105
  0.7800	  2.2908	  0.1107
  0.7880	  2.4571	  0.1172
  0.7960	  0.6597	  0.0549
