# distance (nm)	f (kT)	df (kT)
  0.0040	  3.9471	  0.1019
  0.0120	  2.0532	  0.0449
  0.0200	  1.0989	  0.0333
  0.0280	  0.4651	  0.0290
  0.0360	  0.1901	  0.0282
  0.0440	  0.0054	  0.0280
  0.0520	  0.0000	  0.0000
  0.0600	  0.0632	  0.0315
  0.0680	  0.3970	  0.0367
  0.0760	  0.6965	  0.0423
  0.0840	  1.2209	  0.0519
  0.0920	  1.8013	  0.0646
  0.1000	  2.4923	  0.0836
  0.1080	  3.0130	  0.1042
  0.1160	  3.1704	  0.1113
  0.1240	  3.9265	  0.1576
  0.1320	  4.0042	  0.1605
  0.1400	  4.6734	  0.2198
  0.1480	  4.6117	  0.1995
  0.1560	  4.7419	  0.2068
  0.1640	  5.2799	  0.2595
  0.1720	  5.0810	  0.2202
  0.1800	  5.5002	  0.2611
  0.1880	  5.4172	  0.2354
  0.1960	  5.5164	  0.2326
  0.2040	  5.3822	  0.2075
  0.2120	  5.7084	  0.2261
  0.2200	  5.7928	  0.2209
  0.2280	  5.8942	  0.2162
  0.2360	  5.8083	  0.1967
  0.2440	  5.8585	  0.1803
  0.2520	  5.9919	  0.1789
  0.2600	  5.6207	  0.1388
  0.2680	  5.9887	  0.1543
  0.2760	  5.8956	  0.1361
  0.2840	  5.9596	  0.1325
  0.2920	  5.8241	  0.1101
  0.3000	  5.9683	  0.1063
  0.3080	  5.9311	  0.0992
  0.3160	  6.0788	  0.0953
  0.3240	  6.3281	  0.0933
  0.3320	  6.3576	  0.0886
  0.3400	  6.3405	  0.0823
  0.3480	  6.5133	  0.0794
  0.3560	  6.7080	  0.0816
  0.3640	  6.7760	  0.0768
  0.3720	  6.9014	  0.0753
  0.3800	  7.2335	  0.0807
  0.3880	  7.4921	  0.0826
  0.3960	  7.7675	  0.0844
  0.4040	  7.8274	  0.0813
  0.4120	  8.1154	  0.0838
  0.4200	  8.3079	  0.0859
  0.4280	  8.6623	  0.0924
  0.4360	  8.9753	  0.0936
  0.4440	  9.1288	  0.0937
  0.4520	  9.3333	  0.0919
  0.4600	  9.6528	  0.1012
  0.4680	  9.9715	  0.1048
  0.4760	 10.3047	  0.1111
  0.4840	 10.5666	  0.1110
  0.4920	 10.7229	  0.1093
  0.5000	 10.9756	  0.1124
  0.5080	 11.3877	  0.1193
  0.5160	 11.3986	  0.1108
  0.5240	 11.6249	  0.1095
  0.5320	 11.7574	  0.1103
  0.5400	 11.9206	  0.1056
  0.5480	 11.8496	  0.0930
  0.5560	 11.7578	  0.0798
  0.5640	 11.6986	  0.0703
  0.5720	 11.7706	  0.0645
  0.5800	 11.8878	  0.0607
  0.5880	 12.1951	  0.0592
  0.5960	 12.3214	  0.0564
  0.6040	 12.5604	  0.0549
  0.6120	 12.8094	  0.0540
  0.6200	 13.1167	  0.0539
  0.6280	 13.5395	  0.0560
  0.6360	 13.8483	  0.0554
  0.6440	 14.2210	  0.0567
  0.6520	 14.5650	  0.0583
  0.6600	 15.0034	  0.0608
  0.6680	 15.3774	  0.0616
  0.6760	 15.7416	  0.0633
  0.6840	 16.2077	  0.0657
  0.6920	 16.5899	  0.0687
  0.7000	 17.0904	  0.0720
  0.7080	 17.3749	  0.0712
  0.7160	 17.8886	  0.0757
  0.7240	 18.2630	  0.0760
  0.7320	 18.8073	  0.0823
  0.7400	 19.2666	  0.0884
  0.7480	 19.9352	  0.1011
  0.7560	 20.3438	  0.1011
  0.7640	 20.8439	  0.1094
  0.7720	 21.3095	  0.1176
  0.7800	 21.7390	  0.1207
  0.7880	 22.1858	  0.1266
  0.7960	 21.6975	  0.0742
