# distance (nm)	f (kT)	df (kT)
  0.0040	  3.8825	  0.0103
  0.0120	  1.9122	  0.0043
  0.0200	  0.9445	  0.0032
  0.0280	  0.3885	  0.0028
  0.0360	  0.0883	  0.0026
  0.0440	  0.0000	  0.0000
  0.0520	  0.0976	  0.0028
  0.0600	  0.3736	  0.0030
  0.0680	  0.8327	  0.0035
  0.0760	  1.4341	  0.0042
  0.0840	  2.1184	  0.0055
  0.0920	  2.7787	  0.0074
  0.1000	  3.3147	  0.0098
  0.1080	  3.7555	  0.0120
  0.1160	  4.1043	  0.0140
  0.1240	  4.4557	  0.0162
  0.1320	  4.7736	  0.0184
  0.1400	  5.0335	  0.0202
  0.1480	  5.2787	  0.0221
  0.1560	  5.4615	  0.0235
  0.1640	  5.6777	  0.0253
  0.1720	  5.7792	  0.0259
  0.1800	  5.9011	  0.0269
  0.1880	  5.8821	  0.0263
  0.1960	  5.8779	  0.0256
  0.2040	  5.8901	  0.0252
  0.2120	  5.8285	  0.0241
  0.2200	  5.7442	  0.0227
  0.2280	  5.6860	  0.0216
  0.2360	  5.5754	  0.0201
  0.2440	  5.4429	  0.0185
  0.2520	  5.3439	  0.0171
  0.2600	  5.2090	  0.0156
  0.2680	  5.0787	  0.0142
  0.2760	  4.9993	  0.0131
  0.2840	  4.8907	  0.0119
  0.2920	  4.8039	  0.0110
  0.3000	  4.7210	  0.0100
  0.3080	  4.6814	  0.0094
  0.3160	  4.6596	  0.0088
  0.3240	  4.6750	  0.0084
  0.3320	  4.6801	  0.0080
  0.3400	  4.7253	  0.0077
  0.3480	  4.7963	  0.0075
  0.3560	  4.8798	  0.0074
  0.3640	  4.9869	  0.0073
  0.3720	  5.0902	  0.0073
  0.3800	  5.2473	  0.0074
  0.3880	  5.3913	  0.0074
  0.3960	  5.5500	  0.0075
  0.4040	  5.7376	  0.0076
  0.4120	  5.9268	  0.0078
  0.4200	  6.1219	  0.0080
  0.4280	  6.3231	  0.0082
  0.4360	  6.5306	  0.0084
  0.4440	  6.7615	  0.0087
  0.4520	  6.9635	  0.0089
  0.4600	  7.2046	  0.0093
  0.4680	  7.4283	  0.0096
  0.4760	  7.6334	  0.0097
  0.4840	  7.8690	  0.0100
  0.4920	  8.0994	  0.0103
  0.5000	  8.3310	  0.0106
  0.5080	  8.5383	  0.0107
  0.5160	  8.7793	  0.0110
  0.5240	  8.9810	  0.0110
  0.5320	  9.1176	  0.0107
  0.5400	  9.1545	  0.0099
  0.5480	  9.1259	  0.0090
  0.5560	  9.0451	  0.0081
  0.5640	  8.9351	  0.0071
  0.5720	  8.8731	  0.0065
  0.5800	  8.8369	  0.0059
  0.5880	  8.8658	  0.0056
  0.5960	  8.9415	  0.0053
  0.6040	  9.0761	  0.0052
  0.6120	  9.2489	  0.0051
  0.6200	  9.4724	  0.0051
  0.6280	  9.7275	  0.0051
  0.6360	 10.0138	  0.0052
  0.6440	 10.3271	  0.0053
  0.6520	 10.6544	  0.0054
  0.6600	 10.9948	  0.0056
  0.6680	 11.3320	  0.0057
  0.6760	 11.6845	  0.0059
  0.6840	 12.0304	  0.0061
  0.6920	 12.3992	  0.0063
  0.7000	 12.7613	  0.0065
  0.7080	 13.1286	  0.0068
  0.7160	 13.5072	  0.0070
  0.7240	 13.8965	  0.0073
  0.7320	 14.3146	  0.0077
  0.7400	 14.7133	  0.0081
  0.7480	 15.1543	  0.0087
  0.7560	 15.5930	  0.0092
  0.7640	 16.0343	  0.0099
  0.7720	 16.4704	  0.0105
  0.7800	 16.9175	  0.0112
  0.7880	 17.3426	  0.0119
  0.7960	 16.7222	  0.0069
