# distance (nm)	f (kT)	df (kT)
  0.0040	 18.8112	  0.0114
  0.0120	 16.5977	  0.0066
  0.0200	 15.3872	  0.0059
  0.0280	 14.6178	  0.0057
  0.0360	 14.1449	  0.0056
  0.0440	 13.9318	  0.0056
  0.0520	 13.9596	  0.0057
  0.0600	 14.2180	  0.0058
  0.0680	 14.6769	  0.0062
  0.0760	 15.2064	  0.0072
  0.0840	 15.6683	  0.0091
  0.0920	 15.9810	  0.0112
  0.1000	 16.2177	  0.0133
  0.1080	 16.4275	  0.0157
  0.1160	 16.5635	  0.0180
  0.1240	 16.7168	  0.0207
  0.1320	 16.8122	  0.0236
  0.1400	 16.8581	  0.0261
  0.1480	 16.8558	  0.0286
  0.1560	 16.7727	  0.0305
  0.1640	 16.7054	  0.0335
  0.1720	 16.5349	  0.0340
  0.1800	 16.3360	  0.0350
  0.1880	 15.9475	  0.0340
  0.1960	 15.6223	  0.0331
  0.2040	 15.2631	  0.0330
  0.2120	 14.8045	  0.0311
  0.2200	 14.3174	  0.0294
  0.2280	 13.8764	  0.0277
  0.2360	 13.3449	  0.0255
  0.2440	 12.7794	  0.0231
  0.2520	 12.2539	  0.0213
  0.2600	 11.6850	  0.0191
  0.2680	 11.1420	  0.0172
  0.2760	 10.6600	  0.0159
  0.2840	 10.1273	  0.0144
  0.2920	  9.6327	  0.0131
  0.3000	  9.1533	  0.0120
  0.3080	  8.7227	  0.0112
  0.3160	  8.3254	  0.0106
  0.3240	  7.9702	  0.0101
  0.3320	  7.6210	  0.0096
  0.3400	  7.3063	  0.0093
  0.3480	  7.0318	  0.0091
  0.3560	  6.7783	  0.0089
  0.3640	  6.5480	  0.0088
  0.3720	  6.3242	  0.0087
  0.3800	  6.1643	  0.0087
  0.3880	  5.9881	  0.0088
  0.3960	  5.8340	  0.0088
  0.4040	  5.7088	  0.0090
  0.4120	  5.5900	  0.0091
  0.4200	  5.4757	  0.0093
  0.4280	  5.3827	  0.0095
  0.4360	  5.2750	  0.0097
  0.4440	  5.2099	  0.0100
  0.4520	  5.1052	  0.0102
  0.4600	  5.0409	  0.0106
  0.4680	  4.9612	  0.0109
  0.4760	  4.8626	  0.0111
  0.4840	  4.7962	  0.0114
  0.4920	  4.7194	  0.0117
  0.5000	  4.6453	  0.0120
  0.5080	  4.5494	  0.0122
  0.5160	  4.4935	  0.0126
  0.5240	  4.4060	  0.0128
  0.5320	  4.2991	  0.0128
  0.5400	  4.1342	  0.0123
  0.5480	  3.8980	  0.0114
  0.5560	  3.5549	  0.0102
  0.5640	  3.1095	  0.0089
  0.5720	  2.6620	  0.0080
  0.5800	  2.2292	  0.0073
  0.5880	  1.8683	  0.0068
  0.5960	  1.5601	  0.0065
  0.6040	  1.3156	  0.0063
  0.6120	  1.1247	  0.0061
  0.6200	  0.9998	  0.0061
  0.6280	  0.9133	  0.0061
  0.6360	  0.8676	  0.0061
  0.6440	  0.8582	  0.0062
  0.6520	  0.8689	  0.0063
  0.6600	  0.8918	  0.0065
  0.6680	  0.9190	  0.0066
  0.6760	  0.9614	  0.0068
  0.6840	  1.0023	  0.0070
  0.6920	  1.0631	  0.0072
  0.7000	  1.1122	  0.0074
  0.7080	  1.1635	  0.0077
  0.7160	  1.2168	  0.0079
  0.7240	  1.2873	  0.0082
  0.7320	  1.3816	  0.0087
  0.7400	  1.4571	  0.0090
  0.7480	  1.5898	  0.0096
  0.7560	  1.7072	  0.0102
  0.7640	  1.8418	  0.0109
  0.7720	  1.9777	  0.0117
  0.7800	  2.1073	  0.0125
  0.7880	  2.2105	  0.0132
  0.7960	  0.0000	  0.0000
