# distance (nm)	f (kT)	df (kT)
  0.0040	 13.6896	  0.0112
  0.0120	 11.5086	  0.0062
  0.0200	 10.3154	  0.0054
  0.0280	  9.5393	  0.0052
  0.0360	  9.0302	  0.0051
  0.0440	  8.7466	  0.0051
  0.0520	  8.6659	  0.0052
  0.0600	  8.7810	  0.0053
  0.0680	  9.0911	  0.0056
  0.0760	  9.5339	  0.0062
  0.0840	 10.0192	  0.0074
  0.0920	 10.4158	  0.0093
  0.1000	 10.6823	  0.0114
  0.1080	 10.8803	  0.0136
  0.1160	 10.9987	  0.0155
  0.1240	 11.1312	  0.0178
  0.1320	 11.2202	  0.0201
  0.1400	 11.2545	  0.0220
  0.1480	 11.2658	  0.0241
  0.1560	 11.2083	  0.0256
  0.1640	 11.1801	  0.0278
  0.1720	 11.0383	  0.0282
  0.1800	 10.9026	  0.0292
  0.1880	 10.6138	  0.0286
  0.1960	 10.3506	  0.0277
  0.2040	 10.0952	  0.0275
  0.2120	  9.7511	  0.0261
  0.2200	  9.3915	  0.0247
  0.2280	  9.0575	  0.0234
  0.2360	  8.6586	  0.0217
  0.2440	  8.2371	  0.0199
  0.2520	  7.8523	  0.0185
  0.2600	  7.4257	  0.0168
  0.2680	  7.0125	  0.0152
  0.2760	  6.6539	  0.0141
  0.2840	  6.2577	  0.0129
  0.2920	  5.8886	  0.0119
  0.3000	  5.5266	  0.0109
  0.3080	  5.2088	  0.0102
  0.3160	  4.9155	  0.0096
  0.3240	  4.6593	  0.0092
  0.3320	  4.3992	  0.0088
  0.3400	  4.1768	  0.0085
  0.3480	  3.9841	  0.0083
  0.3560	  3.8067	  0.0082
  0.3640	  3.6526	  0.0081
  0.3720	  3.4984	  0.0080
  0.3800	  3.4002	  0.0081
  0.3880	  3.2889	  0.0081
  0.3960	  3.1937	  0.0081
  0.4040	  3.1279	  0.0083
  0.4120	  3.0653	  0.0084
  0.4200	  3.0074	  0.0086
  0.4280	  2.9614	  0.0088
  0.4360	  2.9139	  0.0090
  0.4440	  2.8972	  0.0093
  0.4520	  2.8472	  0.0095
  0.4600	  2.8369	  0.0098
  0.4680	  2.8105	  0.0100
  0.4760	  2.7640	  0.0102
  0.4840	  2.7500	  0.0105
  0.4920	  2.7280	  0.0108
  0.5000	  2.7090	  0.0111
  0.5080	  2.6662	  0.0112
  0.5160	  2.6613	  0.0115
  0.5240	  2.6209	  0.0116
  0.5320	  2.5345	  0.0114
  0.5400	  2.3580	  0.0107
  0.5480	  2.1051	  0.0097
  0.5560	  1.7746	  0.0087
  0.5640	  1.3967	  0.0077
  0.5720	  1.0549	  0.0070
  0.5800	  0.7369	  0.0064
  0.5880	  0.4865	  0.0061
  0.5960	  0.2856	  0.0058
  0.6040	  0.1451	  0.0056
  0.6120	  0.0485	  0.0055
  0.6200	  0.0073	  0.0055
  0.6280	  0.0000	  0.0000
  0.6360	  0.0268	  0.0056
  0.6440	  0.0838	  0.0057
  0.6520	  0.1569	  0.0058
  0.6600	  0.2417	  0.0059
  0.6680	  0.3264	  0.0061
  0.6760	  0.4260	  0.0062
  0.6840	  0.5200	  0.0064
  0.6920	  0.6368	  0.0066
  0.7000	  0.7443	  0.0068
  0.7080	  0.8560	  0.0071
  0.7160	  0.9768	  0.0073
  0.7240	  1.1108	  0.0076
  0.7320	  1.2714	  0.0080
  0.7400	  1.4134	  0.0084
  0.7480	  1.6029	  0.0089
  0.7560	  1.7851	  0.0095
  0.7640	  1.9747	  0.0101
  0.7720	  2.1620	  0.0108
  0.7800	  2.3546	  0.0115
  0.7880	  2.5210	  0.0122
  0.7960	  0.7989	  0.0058
