# distance (nm)	f (kT)	df (kT)
  0.0040	  4.9064	  0.0326
  0.0120	  2.8910	  0.0149
  0.0200	  1.8038	  0.0114
  0.0280	  1.0905	  0.0103
  0.0360	  0.5961	  0.0099
  0.0440	  0.2710	  0.0099
  0.0520	  0.0620	  0.0102
  0.0600	  0.0000	  0.0000
  0.0680	  0.0578	  0.0123
  0.0760	  0.1977	  0.0143
  0.0840	  0.4779	  0.0174
  0.0920	  0.8377	  0.0215
  0.1000	  1.2268	  0.0265
  0.1080	  1.6168	  0.0326
  0.1160	  1.9208	  0.0381
  0.1240	  2.1991	  0.0452
  0.1320	  2.5047	  0.0544
  0.1400	  2.5239	  0.0566
  0.1480	  2.6288	  0.0617
  0.1560	  2.6295	  0.0633
  0.1640	  2.9069	  0.0750
  0.1720	  2.8031	  0.0715
  0.1800	  2.9195	  0.0772
  0.1880	  2.8487	  0.0747
  0.1960	  2.7868	  0.0721
  0.2040	  2.8203	  0.0753
  0.2120	  2.6534	  0.0683
  0.2200	  2.5858	  0.0659
  0.2280	  2.5307	  0.0635
  0.2360	  2.3850	  0.0593
  0.2440	  2.2789	  0.0557
  0.2520	  2.2313	  0.0535
  0.2600	  2.1355	  0.0491
  0.2680	  2.0195	  0.0456
  0.2760	  1.9240	  0.0429
  0.2840	  1.8949	  0.0405
  0.2920	  1.7707	  0.0372
  0.3000	  1.7410	  0.0354
  0.3080	  1.6624	  0.0334
  0.3160	  1.5522	  0.0314
  0.3240	  1.6039	  0.0307
  0.3320	  1.5551	  0.0293
  0.3400	  1.6427	  0.0294
  0.3480	  1.6211	  0.0285
  0.3560	  1.6514	  0.0281
  0.3640	  1.6628	  0.0276
  0.3720	  1.7553	  0.0280
  0.3800	  1.8359	  0.0285
  0.3880	  1.9706	  0.0296
  0.3960	  2.0059	  0.0287
  0.4040	  2.0762	  0.0296
  0.4120	  2.1803	  0.0297
  0.4200	  2.3277	  0.0308
  0.4280	  2.4073	  0.0315
  0.4360	  2.5990	  0.0329
  0.4440	  2.6780	  0.0333
  0.4520	  2.8292	  0.0341
  0.4600	  2.9541	  0.0349
  0.4680	  3.1637	  0.0368
  0.4760	  3.1903	  0.0365
  0.4840	  3.3835	  0.0382
  0.4920	  3.4637	  0.0382
  0.5000	  3.5858	  0.0394
  0.5080	  3.7131	  0.0401
  0.5160	  3.7255	  0.0402
  0.5240	  3.7570	  0.0403
  0.5320	  3.6453	  0.0374
  0.5400	  3.5152	  0.0336
  0.5480	  3.3702	  0.0299
  0.5560	  3.3040	  0.0271
  0.5640	  3.1957	  0.0241
  0.5720	  3.1618	  0.0223
  0.5800	  3.1782	  0.0209
  0.5880	  3.2520	  0.0201
  0.5960	  3.3455	  0.0194
  0.6040	  3.4838	  0.0190
  0.6120	  3.6526	  0.0188
  0.6200	  3.8206	  0.0188
  0.6280	  4.0539	  0.0191
  0.6360	  4.2633	  0.0194
  0.6440	  4.5189	  0.0198
  0.6520	  4.7442	  0.0203
  0.6600	  5.0191	  0.0209
  0.6680	  5.2800	  0.0215
  0.6760	  5.5766	  0.0223
  0.6840	  5.8684	  0.0230
  0.6920	  6.1185	  0.0234
  0.7000	  6.4122	  0.0243
  0.7080	  6.7338	  0.0252
  0.7160	  7.0378	  0.0263
  0.7240	  7.3542	  0.0276
  0.7320	  7.7373	  0.0295
  0.7400	  8.0578	  0.0310
  0.7480	  8.4211	  0.0333
  0.7560	  8.7726	  0.0345
  0.7640	  9.1326	  0.0371
  0.7720	  9.4886	  0.0392
  0.7800	  9.8173	  0.0419
  0.7880	 10.2453	  0.0456
  0.7960	  9.2794	  0.0234
