# distance (nm)	f (kT)	df (kT)
  0.0040	  5.3551	  0.0388
  0.0120	  3.2981	  0.0259
  0.0200	  2.1776	  0.0241
  0.0280	  1.4429	  0.0236
  0.0360	  0.9452	  0.0234
  0.0440	  0.6358	  0.0234
  0.0520	  0.4680	  0.0235
  0.0600	  0.4733	  0.0238
  0.0680	  0.6245	  0.0244
  0.0760	  0.8818	  0.0253
  0.0840	  1.2919	  0.0270
  0.0920	  1.7319	  0.0297
  0.1000	  2.1471	  0.0339
  0.1080	  2.4969	  0.0397
  0.1160	  2.6471	  0.0445
  0.1240	  2.8807	  0.0511
  0.1320	  3.1147	  0.0591
  0.1400	  3.0737	  0.0610
  0.1480	  3.1844	  0.0664
  0.1560	  3.1062	  0.0674
  0.1640	  3.3907	  0.0791
  0.1720	  3.1895	  0.0759
  0.1800	  3.2417	  0.0807
  0.1880	  3.0884	  0.0785
  0.1960	  2.9133	  0.0755
  0.2040	  2.9538	  0.0788
  0.2120	  2.6392	  0.0710
  0.2200	  2.5050	  0.0690
  0.2280	  2.3579	  0.0663
  0.2360	  2.1518	  0.0621
  0.2440	  1.9564	  0.0579
  0.2520	  1.8171	  0.0555
  0.2600	  1.5648	  0.0510
  0.2680	  1.3627	  0.0477
  0.2760	  1.1983	  0.0450
  0.2840	  1.0302	  0.0426
  0.2920	  0.8170	  0.0394
  0.3000	  0.6829	  0.0378
  0.3080	  0.5400	  0.0361
  0.3160	  0.3626	  0.0343
  0.3240	  0.3098	  0.0336
  0.3320	  0.1811	  0.0325
  0.3400	  0.1813	  0.0324
  0.3480	  0.0933	  0.0317
  0.3560	  0.0580	  0.0314
  0.3640	  0.0000	  0.0000
  0.3720	  0.0310	  0.0310
  0.3800	  0.0618	  0.0314
  0.3880	  0.1380	  0.0319
  0.3960	  0.0927	  0.0316
  0.4040	  0.1393	  0.0319
  0.4120	  0.1636	  0.0322
  0.4200	  0.2572	  0.0329
  0.4280	  0.3074	  0.0333
  0.4360	  0.4228	  0.0342
  0.4440	  0.4657	  0.0346
  0.4520	  0.5439	  0.0352
  0.4600	  0.6154	  0.0358
  0.4680	  0.7624	  0.0372
  0.4760	  0.7625	  0.0370
  0.4840	  0.9066	  0.0382
  0.4920	  0.9396	  0.0383
  0.5000	  1.0377	  0.0392
  0.5080	  1.1172	  0.0396
  0.5160	  1.1792	  0.0400
  0.5240	  1.2449	  0.0400
  0.5320	  1.1344	  0.0382
  0.5400	  0.9690	  0.0361
  0.5480	  0.7535	  0.0338
  0.5560	  0.5728	  0.0317
  0.5640	  0.3392	  0.0294
  0.5720	  0.1967	  0.0280
  0.5800	  0.0947	  0.0271
  0.5880	  0.0688	  0.0265
  0.5960	  0.0573	  0.0260
  0.6040	  0.0897	  0.0257
  0.6120	  0.1694	  0.0256
  0.6200	  0.2724	  0.0256
  0.6280	  0.4307	  0.0257
  0.6360	  0.5856	  0.0259
  0.6440	  0.7582	  0.0261
  0.6520	  0.9434	  0.0263
  0.6600	  1.1575	  0.0267
  0.6680	  1.3654	  0.0270
  0.6760	  1.6036	  0.0275
  0.6840	  1.8246	  0.0280
  0.6920	  2.0060	  0.0283
  0.7000	  2.2444	  0.0288
  0.7080	  2.4894	  0.0295
  0.7160	  2.7461	  0.0301
  0.7240	  3.0040	  0.0308
  0.7320	  3.3199	  0.0321
  0.7400	  3.5877	  0.0329
  0.7480	  3.9075	  0.0345
  0.7560	  4.1601	  0.0355
  0.7640	  4.4815	  0.0376
  0.7720	  4.7694	  0.0391
  0.7800	  5.0745	  0.0410
  0.7880	  5.4194	  0.0441
  0.7960	  4.2645	  0.0277
