# distance (nm)	f (kT)	df (kT)
  0.0040	  3.4150	  0.0318
  0.0120	  1.5468	  0.0137
  0.0200	  0.6619	  0.0099
  0.0280	  0.1951	  0.0086
  0.0360	  0.0000	  0.0000
  0.0440	  0.0350	  0.0083
  0.0520	  0.2603	  0.0087
  0.0600	  0.7070	  0.0097
  0.0680	  1.3348	  0.0113
  0.0760	  2.0756	  0.0140
  0.0840	  2.9079	  0.0191
  0.0920	  3.5933	  0.0259
  0.1000	  4.1727	  0.0332
  0.1080	  4.7250	  0.0408
  0.1160	  5.0964	  0.0456
  0.1240	  5.5908	  0.0546
  0.1320	  6.1371	  0.0651
  0.1400	  6.3416	  0.0669
  0.1480	  6.7099	  0.0750
  0.1560	  6.8744	  0.0758
  0.1640	  7.5170	  0.0935
  0.1720	  7.3829	  0.0865
  0.1800	  7.6963	  0.0931
  0.1880	  7.6624	  0.0889
  0.1960	  7.6150	  0.0830
  0.2040	  7.9501	  0.0908
  0.2120	  7.6913	  0.0791
  0.2200	  7.7151	  0.0755
  0.2280	  7.6641	  0.0720
  0.2360	  7.6810	  0.0674
  0.2440	  7.5608	  0.0626
  0.2520	  7.5253	  0.0588
  0.2600	  7.3585	  0.0514
  0.2680	  7.2955	  0.0470
  0.2760	  7.2560	  0.0435
  0.2840	  7.1907	  0.0395
  0.2920	  7.0814	  0.0353
  0.3000	  7.0896	  0.0329
  0.3080	  7.0870	  0.0305
  0.3160	  7.0833	  0.0281
  0.3240	  7.1467	  0.0269
  0.3320	  7.1956	  0.0253
  0.3400	  7.3534	  0.0251
  0.3480	  7.4452	  0.0241
  0.3560	  7.5883	  0.0237
  0.3640	  7.6996	  0.0229
  0.3720	  7.9100	  0.0231
  0.3800	  8.1560	  0.0236
  0.3880	  8.4237	  0.0243
  0.3960	  8.5731	  0.0238
  0.4040	  8.8327	  0.0244
  0.4120	  9.0649	  0.0246
  0.4200	  9.3556	  0.0255
  0.4280	  9.6296	  0.0263
  0.4360	  9.9280	  0.0272
  0.4440	 10.2007	  0.0280
  0.4520	 10.4600	  0.0284
  0.4600	 10.7548	  0.0294
  0.4680	 11.0987	  0.0310
  0.4760	 11.3351	  0.0309
  0.4840	 11.6652	  0.0324
  0.4920	 11.9103	  0.0324
  0.5000	 12.2539	  0.0339
  0.5080	 12.5211	  0.0343
  0.5160	 12.8633	  0.0357
  0.5240	 13.1570	  0.0364
  0.5320	 13.3650	  0.0352
  0.5400	 13.5030	  0.0329
  0.5480	 13.6178	  0.0301
  0.5560	 13.6045	  0.0269
  0.5640	 13.4967	  0.0232
  0.5720	 13.4695	  0.0209
  0.5800	 13.4896	  0.0191
  0.5880	 13.5779	  0.0180
  0.5960	 13.7003	  0.0171
  0.6040	 13.8602	  0.0165
  0.6120	 14.0884	  0.0163
  0.6200	 14.3614	  0.0162
  0.6280	 14.6914	  0.0163
  0.6360	 15.0411	  0.0165
  0.6440	 15.3980	  0.0168
  0.6520	 15.7945	  0.0172
  0.6600	 16.1973	  0.0177
  0.6680	 16.6082	  0.0183
  0.6760	 17.0568	  0.0190
  0.6840	 17.4692	  0.0196
  0.6920	 17.8586	  0.0200
  0.7000	 18.2872	  0.0207
  0.7080	 18.7375	  0.0216
  0.7160	 19.1739	  0.0225
  0.7240	 19.6311	  0.0235
  0.7320	 20.1421	  0.0251
  0.7400	 20.5813	  0.0261
  0.7480	 21.1129	  0.0282
  0.7560	 21.5525	  0.0292
  0.7640	 22.1052	  0.0317
  0.7720	 22.5885	  0.0335
  0.7800	 23.0967	  0.0359
  0.7880	 23.6681	  0.0393
  0.7960	 23.1570	  0.0231
