# distance (nm)	f (kT)	df (kT)
  0.0040	  3.9535	  0.0322
  0.0120	  2.0534	  0.0141
  0.0200	  1.1018	  0.0105
  0.0280	  0.5336	  0.0093
  0.0360	  0.1934	  0.0088
  0.0440	  0.0324	  0.0089
  0.0520	  0.0000	  0.0000
  0.0600	  0.1265	  0.0101
  0.0680	  0.3861	  0.0115
  0.0760	  0.7395	  0.0135
  0.0840	  1.2436	  0.0165
  0.0920	  1.8106	  0.0205
  0.1000	  2.3866	  0.0255
  0.1080	  2.9349	  0.0318
  0.1160	  3.3190	  0.0377
  0.1240	  3.7329	  0.0450
  0.1320	  4.1456	  0.0540
  0.1400	  4.2889	  0.0560
  0.1480	  4.5582	  0.0612
  0.1560	  4.6850	  0.0626
  0.1640	  5.1218	  0.0747
  0.1720	  5.1342	  0.0710
  0.1800	  5.3691	  0.0766
  0.1880	  5.4254	  0.0741
  0.1960	  5.4656	  0.0715
  0.2040	  5.6624	  0.0746
  0.2120	  5.5868	  0.0672
  0.2200	  5.6497	  0.0649
  0.2280	  5.7102	  0.0622
  0.2360	  5.6923	  0.0581
  0.2440	  5.7031	  0.0540
  0.2520	  5.7700	  0.0516
  0.2600	  5.7583	  0.0471
  0.2680	  5.7563	  0.0436
  0.2760	  5.7919	  0.0407
  0.2840	  5.8553	  0.0383
  0.2920	  5.8465	  0.0348
  0.3000	  5.9255	  0.0330
  0.3080	  5.9843	  0.0309
  0.3160	  5.9966	  0.0288
  0.3240	  6.1578	  0.0280
  0.3320	  6.2282	  0.0267
  0.3400	  6.4346	  0.0267
  0.3480	  6.5352	  0.0259
  0.3560	  6.6951	  0.0255
  0.3640	  6.8331	  0.0248
  0.3720	  7.0591	  0.0251
  0.3800	  7.2730	  0.0257
  0.3880	  7.5397	  0.0265
  0.3960	  7.6927	  0.0260
  0.4040	  7.9143	  0.0265
  0.4120	  8.1339	  0.0269
  0.4200	  8.4178	  0.0278
  0.4280	  8.6441	  0.0283
  0.4360	  8.9573	  0.0296
  0.4440	  9.1787	  0.0300
  0.4520	  9.4514	  0.0308
  0.4600	  9.7094	  0.0316
  0.4680	 10.0469	  0.0333
  0.4760	 10.2229	  0.0331
  0.4840	 10.5566	  0.0345
  0.4920	 10.7756	  0.0345
  0.5000	 11.0464	  0.0358
  0.5080	 11.3137	  0.0361
  0.5160	 11.5220	  0.0363
  0.5240	 11.7352	  0.0364
  0.5320	 11.7746	  0.0342
  0.5400	 11.7843	  0.0312
  0.5480	 11.7570	  0.0281
  0.5560	 11.7919	  0.0254
  0.5640	 11.7805	  0.0225
  0.5720	 11.8469	  0.0207
  0.5800	 11.9648	  0.0193
  0.5880	 12.1515	  0.0185
  0.5960	 12.3526	  0.0178
  0.6040	 12.5968	  0.0174
  0.6120	 12.8810	  0.0172
  0.6200	 13.1781	  0.0172
  0.6280	 13.5354	  0.0174
  0.6360	 13.8785	  0.0177
  0.6440	 14.2501	  0.0180
  0.6520	 14.6177	  0.0184
  0.6600	 15.0240	  0.0189
  0.6680	 15.4172	  0.0195
  0.6760	 15.8469	  0.0203
  0.6840	 16.2613	  0.0209
  0.6920	 16.6344	  0.0214
  0.7000	 17.0631	  0.0221
  0.7080	 17.5041	  0.0231
  0.7160	 17.9461	  0.0240
  0.7240	 18.3945	  0.0250
  0.7320	 18.9031	  0.0268
  0.7400	 19.3596	  0.0280
  0.7480	 19.8624	  0.0299
  0.7560	 20.3220	  0.0312
  0.7640	 20.8238	  0.0338
  0.7720	 21.3055	  0.0357
  0.7800	 21.7847	  0.0380
  0.7880	 22.3270	  0.0417
  0.7960	 21.7890	  0.0237
