# distance (nm)	f (kT)	df (kT)
  0.0040	  3.1748	  0.0318
  0.0120	  1.3607	  0.0137
  0.0200	  0.5367	  0.0099
  0.0280	  0.1325	  0.0086
  0.0360	  0.0000	  0.0000
  0.0440	  0.0981	  0.0083
  0.0520	  0.3865	  0.0087
  0.0600	  0.8963	  0.0097
  0.0680	  1.5873	  0.0113
  0.0760	  2.3917	  0.0140
  0.0840	  3.2883	  0.0191
  0.0920	  4.0385	  0.0260
  0.1000	  4.6819	  0.0332
  0.1080	  5.2998	  0.0409
  0.1160	  5.7355	  0.0456
  0.1240	  6.2933	  0.0547
  0.1320	  6.9025	  0.0652
  0.1400	  7.1715	  0.0670
  0.1480	  7.6027	  0.0751
  0.1560	  7.8366	  0.0759
  0.1640	  8.5420	  0.0936
  0.1720	  8.4737	  0.0865
  0.1800	  8.8486	  0.0932
  0.1880	  8.8822	  0.0889
  0.1960	  8.8972	  0.0830
  0.2040	  9.2957	  0.0909
  0.2120	  9.1041	  0.0792
  0.2200	  9.1920	  0.0755
  0.2280	  9.2045	  0.0721
  0.2360	  9.2866	  0.0674
  0.2440	  9.2284	  0.0626
  0.2520	  9.2555	  0.0589
  0.2600	  9.1540	  0.0515
  0.2680	  9.1541	  0.0471
  0.2760	  9.1796	  0.0435
  0.2840	  9.1790	  0.0396
  0.2920	  9.1333	  0.0353
  0.3000	  9.2058	  0.0330
  0.3080	  9.2675	  0.0305
  0.3160	  9.3275	  0.0282
  0.3240	  9.4544	  0.0270
  0.3320	  9.5676	  0.0254
  0.3400	  9.7904	  0.0251
  0.3480	  9.9448	  0.0241
  0.3560	 10.1517	  0.0237
  0.3640	 10.3276	  0.0229
  0.3720	 10.6022	  0.0231
  0.3800	 10.9123	  0.0236
  0.3880	 11.2440	  0.0243
  0.3960	 11.4574	  0.0238
  0.4040	 11.7807	  0.0244
  0.4120	 12.0774	  0.0247
  0.4200	 12.4329	  0.0256
  0.4280	 12.7700	  0.0263
  0.4360	 13.1330	  0.0273
  0.4440	 13.4686	  0.0280
  0.4520	 13.7921	  0.0285
  0.4600	 14.1513	  0.0294
  0.4680	 14.5591	  0.0310
  0.4760	 14.8608	  0.0310
  0.4840	 15.2541	  0.0324
  0.4920	 15.5640	  0.0325
  0.5000	 15.9719	  0.0339
  0.5080	 16.3033	  0.0344
  0.5160	 16.7103	  0.0357
  0.5240	 17.0667	  0.0365
  0.5320	 17.3400	  0.0353
  0.5400	 17.5414	  0.0330
  0.5480	 17.7229	  0.0301
  0.5560	 17.7735	  0.0269
  0.5640	 17.7301	  0.0233
  0.5720	 17.7658	  0.0209
  0.5800	 17.8497	  0.0191
  0.5880	 18.0019	  0.0180
  0.5960	 18.1885	  0.0171
  0.6040	 18.4119	  0.0165
  0.6120	 18.7038	  0.0163
  0.6200	 19.0410	  0.0162
  0.6280	 19.4353	  0.0163
  0.6360	 19.8488	  0.0166
  0.6440	 20.2698	  0.0168
  0.6520	 20.7303	  0.0173
  0.6600	 21.1972	  0.0177
  0.6680	 21.6716	  0.0183
  0.6760	 22.1850	  0.0191
  0.6840	 22.6611	  0.0197
  0.6920	 23.1146	  0.0201
  0.7000	 23.6076	  0.0208
  0.7080	 24.1221	  0.0216
  0.7160	 24.6217	  0.0225
  0.7240	 25.1435	  0.0235
  0.7320	 25.7189	  0.0251
  0.7400	 26.2214	  0.0261
  0.7480	 26.8166	  0.0283
  0.7560	 27.3215	  0.0292
  0.7640	 27.9383	  0.0317
  0.7720	 28.4860	  0.0335
  0.7800	 29.0571	  0.0359
  0.7880	 29.6937	  0.0394
  0.7960	 29.3401	  0.0241
