# distance (nm)	f (kT)	df (kT)
  0.0040	  4.5602	  0.0033
  0.0120	  2.5130	  0.0014
  0.0200	  1.4480	  0.0010
  0.0280	  0.7766	  0.0009
  0.0360	  0.3441	  0.0009
  0.0440	  0.0931	  0.0009
  0.0520	  0.0000	  0.0000
  0.0600	  0.0567	  0.0010
  0.0680	  0.2605	  0.0011
  0.0760	  0.6019	  0.0013
  0.0840	  1.0588	  0.0016
  0.0920	  1.5770	  0.0021
  0.1000	  2.0670	  0.0026
  0.1080	  2.4635	  0.0033
  0.1160	  2.7581	  0.0040
  0.1240	  2.9877	  0.0047
  0.1320	  3.1785	  0.0053
  0.1400	  3.3519	  0.0058
  0.1480	  3.4664	  0.0063
  0.1560	  3.5859	  0.0068
  0.1640	  3.6535	  0.0071
  0.1720	  3.6942	  0.0073
  0.1800	  3.7170	  0.0075
  0.1880	  3.6992	  0.0075
  0.1960	  3.6439	  0.0074
  0.2040	  3.5902	  0.0072
  0.2120	  3.5122	  0.0070
  0.2200	  3.4223	  0.0067
  0.2280	  3.3052	  0.0063
  0.2360	  3.1679	  0.0059
  0.2440	  3.0421	  0.0055
  0.2520	  2.9050	  0.0051
  0.2600	  2.7610	  0.0047
  0.2680	  2.6326	  0.0043
  0.2760	  2.5126	  0.0040
  0.2840	  2.3903	  0.0037
  0.2920	  2.2835	  0.0034
  0.3000	  2.1911	  0.0032
  0.3080	  2.1174	  0.0030
  0.3160	  2.0603	  0.0028
  0.3240	  2.0205	  0.0027
  0.3320	  1.9904	  0.0026
  0.3400	  1.9855	  0.0025
  0.3480	  2.0029	  0.0025
  0.3560	  2.0295	  0.0024
  0.3640	  2.0671	  0.0024
  0.3720	  2.1304	  0.0024
  0.3800	  2.2014	  0.0024
  0.3880	  2.2917	  0.0024
  0.3960	  2.3824	  0.0025
  0.4040	  2.4870	  0.0025
  0.4120	  2.6035	  0.0026
  0.4200	  2.7318	  0.0026
  0.4280	  2.8595	  0.0027
  0.4360	  2.9954	  0.0028
  0.4440	  3.1413	  0.0028
  0.4520	  3.2745	  0.0029
  0.4600	  3.4261	  0.0030
  0.4680	  3.5801	  0.0031
  0.4760	  3.7277	  0.0032
  0.4840	  3.8778	  0.0033
  0.4920	  4.0354	  0.0034
  0.5000	  4.1785	  0.0034
  0.5080	  4.3209	  0.0035
  0.5160	  4.4408	  0.0035
  0.5240	  4.5062	  0.0034
  0.5320	  4.4966	  0.0033
  0.5400	  4.4069	  0.0030
  0.5480	  4.2803	  0.0028
  0.5560	  4.1342	  0.0025
  0.5640	  4.0094	  0.0022
  0.5720	  3.9239	  0.0020
  0.5800	  3.8830	  0.0019
  0.5880	  3.8916	  0.0018
  0.5960	  3.9465	  0.0017
  0.6040	  4.0513	  0.0017
  0.6120	  4.1896	  0.0017
  0.6200	  4.3636	  0.0017
  0.6280	  4.5647	  0.0017
  0.6360	  4.7933	  0.0017
  0.6440	  5.0384	  0.0017
  0.6520	  5.2985	  0.0018
  0.6600	  5.5652	  0.0018
  0.6680	  5.8376	  0.0019
  0.6760	  6.1129	  0.0019
  0.6840	  6.3942	  0.0020
  0.6920	  6.6851	  0.0021
  0.7000	  6.9802	  0.0021
  0.7080	  7.2860	  0.0022
  0.7160	  7.6077	  0.0023
  0.7240	  7.9348	  0.0024
  0.7320	  8.2806	  0.0025
  0.7400	  8.6292	  0.0027
  0.7480	  8.9948	  0.0028
  0.7560	  9.3549	  0.0030
  0.7640	  9.7251	  0.0032
  0.7720	 10.0853	  0.0034
  0.7800	 10.4570	  0.0036
  0.7880	 10.8294	  0.0039
  0.7960	  9.9629	  0.0021
