# distance (nm)	f (kT)	df (kT)
  0.0040	  4.5267	  0.0033
  0.0120	  2.5207	  0.0015
  0.0200	  1.4902	  0.0011
  0.0280	  0.8394	  0.0010
  0.0360	  0.4106	  0.0010
  0.0440	  0.1431	  0.0010
  0.0520	  0.0099	  0.0010
  0.0600	  0.0000	  0.0000
  0.0680	  0.1087	  0.0012
  0.0760	  0.3319	  0.0014
  0.0840	  0.6619	  0.0017
  0.0920	  1.0830	  0.0021
  0.1000	  1.5500	  0.0027
  0.1080	  2.0206	  0.0033
  0.1160	  2.4228	  0.0039
  0.1240	  2.7446	  0.0046
  0.1320	  2.9947	  0.0052
  0.1400	  3.2075	  0.0058
  0.1480	  3.3575	  0.0062
  0.1560	  3.5168	  0.0067
  0.1640	  3.6233	  0.0070
  0.1720	  3.7181	  0.0072
  0.1800	  3.7985	  0.0074
  0.1880	  3.8438	  0.0074
  0.1960	  3.8637	  0.0073
  0.2040	  3.8848	  0.0072
  0.2120	  3.8948	  0.0070
  0.2200	  3.8902	  0.0067
  0.2280	  3.8700	  0.0064
  0.2360	  3.8311	  0.0060
  0.2440	  3.8061	  0.0056
  0.2520	  3.7686	  0.0053
  0.2600	  3.7296	  0.0049
  0.2680	  3.7037	  0.0046
  0.2760	  3.6812	  0.0043
  0.2840	  3.6601	  0.0040
  0.2920	  3.6464	  0.0037
  0.3000	  3.6495	  0.0035
  0.3080	  3.6654	  0.0033
  0.3160	  3.6946	  0.0032
  0.3240	  3.7357	  0.0031
  0.3320	  3.7846	  0.0030
  0.3400	  3.8559	  0.0029
  0.3480	  3.9461	  0.0029
  0.3560	  4.0419	  0.0028
  0.3640	  4.1416	  0.0028
  0.3720	  4.2700	  0.0028
  0.3800	  4.4032	  0.0028
  0.3880	  4.5513	  0.0029
  0.3960	  4.7005	  0.0029
  0.4040	  4.8589	  0.0029
  0.4120	  5.0324	  0.0030
  0.4200	  5.2144	  0.0031
  0.4280	  5.3918	  0.0032
  0.4360	  5.5839	  0.0032
  0.4440	  5.7802	  0.0033
  0.4520	  5.9646	  0.0034
  0.4600	  6.1656	  0.0035
  0.4680	  6.3722	  0.0036
  0.4760	  6.5709	  0.0037
  0.4840	  6.7686	  0.0038
  0.4920	  6.9745	  0.0039
  0.5000	  7.1507	  0.0040
  0.5080	  7.3076	  0.0040
  0.5160	  7.4117	  0.0040
  0.5240	  7.4488	  0.0039
  0.5320	  7.4288	  0.0037
  0.5400	  7.3680	  0.0034
  0.5480	  7.3178	  0.0030
  0.5560	  7.2778	  0.0027
  0.5640	  7.2722	  0.0024
  0.5720	  7.3080	  0.0022
  0.5800	  7.3843	  0.0021
  0.5880	  7.5029	  0.0020
  0.5960	  7.6574	  0.0019
  0.6040	  7.8566	  0.0019
  0.6120	  8.0786	  0.0019
  0.6200	  8.3307	  0.0019
  0.6280	  8.6023	  0.0019
  0.6360	  8.8974	  0.0019
  0.6440	  9.2030	  0.0020
  0.6520	  9.5213	  0.0020
  0.6600	  9.8438	  0.0021
  0.6680	 10.1729	  0.0022
  0.6760	 10.5038	  0.0022
  0.6840	 10.8453	  0.0023
  0.6920	 11.2000	  0.0024
  0.7000	 11.5592	  0.0024
  0.7080	 11.9309	  0.0025
  0.7160	 12.3172	  0.0026
  0.7240	 12.7052	  0.0028
  0.7320	 13.1138	  0.0029
  0.7400	 13.5232	  0.0031
  0.7480	 13.9438	  0.0033
  0.7560	 14.3607	  0.0035
  0.7640	 14.7858	  0.0037
  0.7720	 15.2022	  0.0040
  0.7800	 15.6268	  0.0042
  0.7880	 16.0539	  0.0045
  0.7960	 15.3598	  0.0025
