# distance (nm)	f (kT)	df (kT)
  0.0040	  9.2091	  0.0035
  0.0120	  7.0681	  0.0020
  0.0200	  5.9134	  0.0017
  0.0280	  5.1681	  0.0016
  0.0360	  4.6826	  0.0016
  0.0440	  4.4036	  0.0016
  0.0520	  4.3119	  0.0016
  0.0600	  4.4016	  0.0017
  0.0680	  4.6678	  0.0018
  0.0760	  5.0815	  0.0019
  0.0840	  5.5776	  0.0022
  0.0920	  6.0401	  0.0027
  0.1000	  6.3833	  0.0034
  0.1080	  6.6192	  0.0040
  0.1160	  6.7990	  0.0047
  0.1240	  6.9410	  0.0053
  0.1320	  7.0542	  0.0059
  0.1400	  7.1482	  0.0066
  0.1480	  7.1754	  0.0071
  0.1560	  7.1981	  0.0076
  0.1640	  7.1657	  0.0080
  0.1720	  7.0883	  0.0082
  0.1800	  6.9890	  0.0084
  0.1880	  6.8432	  0.0084
  0.1960	  6.6419	  0.0082
  0.2040	  6.4393	  0.0081
  0.2120	  6.2031	  0.0078
  0.2200	  5.9507	  0.0074
  0.2280	  5.6657	  0.0070
  0.2360	  5.3522	  0.0065
  0.2440	  5.0499	  0.0060
  0.2520	  4.7352	  0.0055
  0.2600	  4.4123	  0.0051
  0.2680	  4.1049	  0.0046
  0.2760	  3.8118	  0.0043
  0.2840	  3.5146	  0.0039
  0.2920	  3.2389	  0.0036
  0.3000	  2.9801	  0.0034
  0.3080	  2.7444	  0.0032
  0.3160	  2.5309	  0.0030
  0.3240	  2.3392	  0.0029
  0.3320	  2.1605	  0.0027
  0.3400	  2.0100	  0.0027
  0.3480	  1.8867	  0.0026
  0.3560	  1.7779	  0.0025
  0.3640	  1.6846	  0.0025
  0.3720	  1.6164	  0.0025
  0.3800	  1.5609	  0.0025
  0.3880	  1.5274	  0.0025
  0.3960	  1.4954	  0.0026
  0.4040	  1.4801	  0.0026
  0.4120	  1.4766	  0.0026
  0.4200	  1.4841	  0.0027
  0.4280	  1.4973	  0.0027
  0.4360	  1.5132	  0.0028
  0.4440	  1.5431	  0.0029
  0.4520	  1.5601	  0.0030
  0.4600	  1.5964	  0.0030
  0.4680	  1.6331	  0.0031
  0.4760	  1.6643	  0.0032
  0.4840	  1.6996	  0.0033
  0.4920	  1.7391	  0.0034
  0.5000	  1.7672	  0.0034
  0.5080	  1.8009	  0.0035
  0.5160	  1.8305	  0.0036
  0.5240	  1.8291	  0.0035
  0.5320	  1.7803	  0.0034
  0.5400	  1.6404	  0.0032
  0.5480	  1.4207	  0.0029
  0.5560	  1.1342	  0.0026
  0.5640	  0.8403	  0.0024
  0.5720	  0.5739	  0.0022
  0.5800	  0.3529	  0.0020
  0.5880	  0.1860	  0.0019
  0.5960	  0.0722	  0.0018
  0.6040	  0.0141	  0.0018
  0.6120	  0.0000	  0.0000
  0.6200	  0.0291	  0.0017
  0.6280	  0.0919	  0.0017
  0.6360	  0.1870	  0.0017
  0.6440	  0.3048	  0.0018
  0.6520	  0.4404	  0.0018
  0.6600	  0.5866	  0.0019
  0.6680	  0.7387	  0.0019
  0.6760	  0.8957	  0.0020
  0.6840	  1.0554	  0.0020
  0.6920	  1.2221	  0.0021
  0.7000	  1.3905	  0.0021
  0.7080	  1.5671	  0.0022
  0.7160	  1.7589	  0.0023
  0.7240	  1.9582	  0.0024
  0.7320	  2.1746	  0.0025
  0.7400	  2.3971	  0.0026
  0.7480	  2.6408	  0.0028
  0.7560	  2.8790	  0.0030
  0.7640	  3.1281	  0.0032
  0.7720	  3.3693	  0.0033
  0.7800	  3.6176	  0.0036
  0.7880	  3.8721	  0.0038
  0.7960	  2.5037	  0.0019
