# distance (nm)	f (kT)	df (kT)
  0.0040	  6.8991	  0.0039
  0.0120	  4.7768	  0.0026
  0.0200	  3.6122	  0.0024
  0.0280	  2.8179	  0.0023
  0.0360	  2.2371	  0.0023
  0.0440	  1.8089	  0.0023
  0.0520	  1.5047	  0.0023
  0.0600	  1.3125	  0.0024
  0.0680	  1.2263	  0.0024
  0.0760	  1.2423	  0.0025
  0.0840	  1.3551	  0.0027
  0.0920	  1.5575	  0.0031
  0.1000	  1.8176	  0.0035
  0.1080	  2.1168	  0.0042
  0.1160	  2.3882	  0.0049
  0.1240	  2.6097	  0.0055
  0.1320	  2.7591	  0.0060
  0.1400	  2.8506	  0.0066
  0.1480	  2.8725	  0.0069
  0.1560	  2.8998	  0.0074
  0.1640	  2.8661	  0.0077
  0.1720	  2.8292	  0.0079
  0.1800	  2.7768	  0.0081
  0.1880	  2.6951	  0.0081
  0.1960	  2.5893	  0.0080
  0.2040	  2.4837	  0.0079
  0.2120	  2.3752	  0.0077
  0.2200	  2.2492	  0.0075
  0.2280	  2.1143	  0.0071
  0.2360	  1.9607	  0.0068
  0.2440	  1.8227	  0.0064
  0.2520	  1.6689	  0.0061
  0.2600	  1.5204	  0.0057
  0.2680	  1.3802	  0.0054
  0.2760	  1.2425	  0.0051
  0.2840	  1.1089	  0.0049
  0.2920	  0.9769	  0.0046
  0.3000	  0.8657	  0.0044
  0.3080	  0.7635	  0.0043
  0.3160	  0.6738	  0.0041
  0.3240	  0.5925	  0.0040
  0.3320	  0.5193	  0.0039
  0.3400	  0.4656	  0.0039
  0.3480	  0.4302	  0.0038
  0.3560	  0.4004	  0.0038
  0.3640	  0.3681	  0.0038
  0.3720	  0.3690	  0.0038
  0.3800	  0.3731	  0.0038
  0.3880	  0.3884	  0.0038
  0.3960	  0.4071	  0.0039
  0.4040	  0.4304	  0.0039
  0.4120	  0.4736	  0.0040
  0.4200	  0.5192	  0.0041
  0.4280	  0.5607	  0.0041
  0.4360	  0.6212	  0.0042
  0.4440	  0.6810	  0.0043
  0.4520	  0.7311	  0.0044
  0.4600	  0.7942	  0.0045
  0.4680	  0.8669	  0.0046
  0.4760	  0.9287	  0.0048
  0.4840	  0.9838	  0.0049
  0.4920	  1.0452	  0.0050
  0.5000	  1.0594	  0.0052
  0.5080	  1.0432	  0.0053
  0.5160	  0.9698	  0.0053
  0.5240	  0.8353	  0.0050
  0.5320	  0.6724	  0.0046
  0.5400	  0.4863	  0.0042
  0.5480	  0.3300	  0.0038
  0.5560	  0.1909	  0.0035
  0.5640	  0.0882	  0.0032
  0.5720	  0.0251	  0.0030
  0.5800	  0.0000	  0.0000
  0.5880	  0.0125	  0.0028
  0.5960	  0.0536	  0.0028
  0.6040	  0.1379	  0.0027
  0.6120	  0.2389	  0.0027
  0.6200	  0.3698	  0.0027
  0.6280	  0.5149	  0.0027
  0.6360	  0.6811	  0.0028
  0.6440	  0.8553	  0.0028
  0.6520	  1.0421	  0.0029
  0.6600	  1.2330	  0.0029
  0.6680	  1.4317	  0.0030
  0.6760	  1.6307	  0.0031
  0.6840	  1.8422	  0.0031
  0.6920	  2.0703	  0.0032
  0.7000	  2.3011	  0.0033
  0.7080	  2.5456	  0.0034
  0.7160	  2.8039	  0.0035
  0.7240	  3.0608	  0.0037
  0.7320	  3.3390	  0.0038
  0.7400	  3.6163	  0.0040
  0.7480	  3.9045	  0.0042
  0.7560	  4.1876	  0.0045
  0.7640	  4.4792	  0.0047
  0.7720	  4.7640	  0.0050
  0.7800	  5.0516	  0.0053
  0.7880	  5.3466	  0.0056
  0.7960	  4.1668	  0.0031
