# distance (nm)	f (kT)	df (kT)
  0.0133	  0.7003	  0.0694
  0.0400	  0.0000	  0.0000
  0.0667	  2.4439	  0.0728
  0.0933	  5.2588	  0.1763
  0.1200	  8.1698	  0.4537
  0.1467	 11.2600	  0.4785
  0.1733	 11.4011	  0.7224
  0.2000	 11.5089	  0.4826
  0.2267	 11.4221	  0.5439
  0.2533	 10.6276	  0.5075
  0.2800	  9.8637	  0.2711
  0.3067	 10.1544	  0.2449
  0.3333	 10.4202	  0.1840
  0.3600	 11.0443	  0.1747
  0.3867	 11.5510	  0.1556
  0.4133	 12.6713	  0.1755
  0.4400	 13.9232	  0.1951
  0.4667	 14.9938	  0.2043
  0.4933	 15.9561	  0.2059
  0.5200	 17.5943	  0.2503
  0.5467	 18.5002	  0.2330
  0.5733	 18.7801	  0.1567
  0.6000	 19.1451	  0.1349
  0.6267	 19.9181	  0.1243
  0.6533	 21.1683	  0.1289
  0.6800	 22.8453	  0.1447
  0.7067	 24.4990	  0.1563
  0.7333	 26.1336	  0.1806
  0.7600	 28.1535	  0.2299
  0.7867	 29.8942	  0.2354
