# distance (nm)	f (kT)	df (kT)
  0.0133	  5.4033	  0.1300
  0.0400	  3.8577	  0.1183
  0.0667	  5.0872	  0.1262
  0.0933	  6.6972	  0.1922
  0.1200	  8.4867	  0.4104
  0.1467	  9.8722	  0.4775
  0.1733	  9.3099	  0.5859
  0.2000	  7.7704	  0.4681
  0.2267	  6.9398	  0.4850
  0.2533	  5.3966	  0.4589
  0.2800	  3.6458	  0.2502
  0.3067	  3.0491	  0.2271
  0.3333	  2.2505	  0.1845
  0.3600	  1.8487	  0.1718
  0.3867	  1.2926	  0.1540
  0.4133	  1.4084	  0.1652
  0.4400	  1.5615	  0.1848
  0.4667	  1.5706	  0.1892
  0.4933	  1.4478	  0.1902
  0.5200	  1.9140	  0.2337
  0.5467	  1.7138	  0.2037
  0.5733	  0.8183	  0.1405
  0.6000	  0.2346	  0.1158
  0.6267	  0.0000	  0.0000
  0.6533	  0.2447	  0.1102
  0.6800	  0.8828	  0.1238
  0.7067	  1.3291	  0.1322
  0.7333	  2.0254	  0.1566
  0.7600	  2.9881	  0.2000
  0.7867	  2.9745	  0.1535
