# distance (nm)	f (kT)	df (kT)
  0.0133	 10.9529	  0.1264
  0.0400	  8.9990	  0.1139
  0.0667	  9.4943	  0.1195
  0.0933	 10.7197	  0.1765
  0.1200	 12.0718	  0.3630
  0.1467	 12.4248	  0.4230
  0.1733	 11.8727	  0.4908
  0.2000	 10.1296	  0.3808
  0.2267	  9.3486	  0.3936
  0.2533	  8.1176	  0.3482
  0.2800	  6.3386	  0.2238
  0.3067	  5.6192	  0.1990
  0.3333	  4.6826	  0.1705
  0.3600	  4.0591	  0.1581
  0.3867	  3.3407	  0.1432
  0.4133	  3.1687	  0.1495
  0.4400	  3.1571	  0.1742
  0.4667	  2.8768	  0.1729
  0.4933	  2.5785	  0.1738
  0.5200	  2.8062	  0.2157
  0.5467	  2.2199	  0.1773
  0.5733	  1.0868	  0.1243
  0.6000	  0.3610	  0.1038
  0.6267	  0.0000	  0.0000
  0.6533	  0.0743	  0.1014
  0.6800	  0.4579	  0.1140
  0.7067	  0.6691	  0.1217
  0.7333	  1.1853	  0.1439
  0.7600	  1.8281	  0.1767
  0.7867	  1.2015	  0.1223
