# distance (nm)	f (kT)	df (kT)
  0.0080	  3.5729	  0.0628
  0.0240	  1.4299	  0.0531
  0.0400	  0.5678	  0.0522
  0.0560	  0.3611	  0.0526
  0.0720	  0.8245	  0.0551
  0.0880	  1.7226	  0.0632
  0.1040	  2.6394	  0.0871
  0.1200	  2.9875	  0.1087
  0.1360	  3.5178	  0.1438
  0.1520	  3.5443	  0.1590
  0.1680	  3.7262	  0.1845
  0.1840	  3.6086	  0.1900
  0.2000	  3.2444	  0.1718
  0.2160	  3.0280	  0.1714
  0.2320	  2.6841	  0.1571
  0.2480	  2.2999	  0.1395
  0.2640	  1.6920	  0.1120
  0.2800	  1.4860	  0.1048
  0.2960	  0.8765	  0.0856
  0.3120	  0.6142	  0.0786
  0.3280	  0.4296	  0.0740
  0.3440	  0.1289	  0.0683
  0.3600	  0.0580	  0.0669
  0.3760	  0.0000	  0.0000
  0.3920	  0.1761	  0.0689
  0.4080	  0.1522	  0.0683
  0.4240	  0.3257	  0.0713
  0.4400	  0.4872	  0.0739
  0.4560	  0.5955	  0.0752
  0.4720	  0.9091	  0.0822
  0.4880	  1.0335	  0.0837
  0.5040	  1.2196	  0.0865
  0.5200	  1.2487	  0.0848
  0.5360	  1.3641	  0.0848
  0.5520	  0.9605	  0.0729
  0.5680	  0.4562	  0.0626
  0.5840	  0.2377	  0.0584
  0.6000	  0.1979	  0.0565
  0.6160	  0.2806	  0.0557
  0.6320	  0.6209	  0.0565
  0.6480	  0.9373	  0.0572
  0.6640	  1.3574	  0.0589
  0.6800	  1.7666	  0.0607
  0.6960	  2.2578	  0.0632
  0.7120	  2.6686	  0.0652
  0.7280	  3.1587	  0.0677
  0.7440	  3.8679	  0.0751
  0.7600	  4.4534	  0.0812
  0.7760	  5.0611	  0.0895
  0.7920	  4.7573	  0.0682
