# distance (nm)	f (kT)	df (kT)
  0.0020	  4.8778	  0.0091
  0.0060	  2.9187	  0.0035
  0.0100	  1.9333	  0.0022
  0.0140	  1.3013	  0.0017
  0.0180	  0.8514	  0.0015
  0.0220	  0.5278	  0.0013
  0.0260	  0.2943	  0.0012
  0.0300	  0.1337	  0.0012
  0.0340	  0.0385	  0.0012
  0.0380	  0.0000	  0.0000
  0.0420	  0.0170	  0.0012
  0.0460	  0.0829	  0.0012
  0.0500	  0.2033	  0.0012
  0.0540	  0.3721	  0.0012
  0.0580	  0.5924	  0.0013
  0.0620	  0.8611	  0.0014
  0.0660	  1.1777	  0.0015
  0.0700	  1.5350	  0.0017
  0.0740	  1.9226	  0.0018
  0.0780	  2.3276	  0.0021
  0.0820	  2.7364	  0.0025
  0.0860	  3.1261	  0.0029
  0.0900	  3.4863	  0.0035
  0.0940	  3.8053	  0.0040
  0.0980	  4.1007	  0.0045
  0.1020	  4.3629	  0.0050
  0.1060	  4.6182	  0.0055
  0.1100	  4.8553	  0.0060
  0.1140	  5.0917	  0.0065
  0.1180	  5.3155	  0.0070
  0.1220	  5.5250	  0.0074
  0.1260	  5.7453	  0.0080
  0.1300	  5.9348	  0.0085
  0.1340	  6.1412	  0.0090
  0.1380	  6.3206	  0.0095
  0.1420	  6.5169	  0.0100
  0.1460	  6.6488	  0.0103
  0.1500	  6.8023	  0.0107
  0.1540	  6.9569	  0.0112
  0.1580	  7.0884	  0.0116
  0.1620	  7.2176	  0.0119
  0.1660	  7.3079	  0.0121
  0.1700	  7.4123	  0.0123
  0.1740	  7.4845	  0.0125
  0.1780	  7.5599	  0.0125
  0.1820	  7.6576	  0.0128
  0.1860	  7.6888	  0.0126
  0.1900	  7.7490	  0.0127
  0.1940	  7.7375	  0.0123
  0.1980	  7.7904	  0.0124
  0.2020	  7.8092	  0.0122
  0.2060	  7.8030	  0.0119
  0.2100	  7.8174	  0.0117
  0.2140	  7.7999	  0.0114
  0.2180	  7.7933	  0.0112
  0.2220	  7.7855	  0.0109
  0.2260	  7.7647	  0.0106
  0.2300	  7.7136	  0.0101
  0.2340	  7.6801	  0.0097
  0.2380	  7.6259	  0.0093
  0.2420	  7.5984	  0.0090
  0.2460	  7.5562	  0.0086
  0.2500	  7.5204	  0.0083
  0.2540	  7.4599	  0.0078
  0.2580	  7.4217	  0.0075
  0.2620	  7.3647	  0.0071
  0.2660	  7.3365	  0.0068
  0.2700	  7.2867	  0.0065
  0.2740	  7.2669	  0.0062
  0.2780	  7.2264	  0.0059
  0.2820	  7.1939	  0.0056
  0.2860	  7.1620	  0.0054
  0.2900	  7.1439	  0.0051
  0.2940	  7.1233	  0.0049
  0.2980	  7.1106	  0.0047
  0.3020	  7.1060	  0.0045
  0.3060	  7.1102	  0.0044
  0.3100	  7.1070	  0.0042
  0.3140	  7.1240	  0.0041
  0.3180	  7.1431	  0.0039
  0.3220	  7.1664	  0.0038
  0.3260	  7.1995	  0.0037
  0.3300	  7.2277	  0.0036
  0.3340	  7.2682	  0.0035
  0.3380	  7.3174	  0.0035
  0.3420	  7.3686	  0.0034
  0.3460	  7.4422	  0.0034
  0.3500	  7.4946	  0.0033
  0.3540	  7.5710	  0.0033
  0.3580	  7.6502	  0.0033
  0.3620	  7.7300	  0.0032
  0.3660	  7.8116	  0.0032
  0.3700	  7.9040	  0.0032
  0.3740	  8.0081	  0.0032
  0.3780	  8.1066	  0.0032
  0.3820	  8.2083	  0.0032
  0.3860	  8.3243	  0.0033
  0.3900	  8.4397	  0.0033
  0.3940	  8.5488	  0.0033
  0.3980	  8.6692	  0.0033
  0.4020	  8.7889	  0.0033
  0.4060	  8.9185	  0.0034
  0.4100	  9.0437	  0.0034
  0.4140	  9.1780	  0.0035
  0.4180	  9.3166	  0.0035
  0.4220	  9.4396	  0.0036
  0.4260	  9.5864	  0.0036
  0.4300	  9.7218	  0.0037
  0.4340	  9.8559	  0.0037
  0.4380	 10.0065	  0.0038
  0.4420	 10.1497	  0.0038
  0.4460	 10.2963	  0.0039
  0.4500	 10.4279	  0.0039
  0.4540	 10.5769	  0.0040
  0.4580	 10.7294	  0.0041
  0.4620	 10.8732	  0.0041
  0.4660	 11.0272	  0.0042
  0.4700	 11.1723	  0.0043
  0.4740	 11.3194	  0.0043
  0.4780	 11.4673	  0.0044
  0.4820	 11.6190	  0.0045
  0.4860	 11.7640	  0.0045
  0.4900	 11.9129	  0.0046
  0.4940	 12.0719	  0.0047
  0.4980	 12.2073	  0.0047
  0.5020	 12.3569	  0.0048
  0.5060	 12.5041	  0.0048
  0.5100	 12.6521	  0.0049
  0.5140	 12.7986	  0.0049
  0.5180	 12.9501	  0.0050
  0.5220	 13.0772	  0.0050
  0.5260	 13.2158	  0.0050
  0.5300	 13.3382	  0.0049
  0.5340	 13.4422	  0.0048
  0.5380	 13.5228	  0.0047
  0.5420	 13.5792	  0.0045
  0.5460	 13.6187	  0.0043
  0.5500	 13.6302	  0.0041
  0.5540	 13.6180	  0.0038
  0.5580	 13.5917	  0.0036
  0.5620	 13.5679	  0.0033
  0.5660	 13.5415	  0.0031
  0.5700	 13.5234	  0.0029
  0.5740	 13.5161	  0.0028
  0.5780	 13.5176	  0.0026
  0.5820	 13.5398	  0.0025
  0.5860	 13.5683	  0.0024
  0.5900	 13.6187	  0.0023
  0.5940	 13.6762	  0.0023
  0.5980	 13.7516	  0.0022
  0.6020	 13.8446	  0.0022
  0.6060	 13.9419	  0.0022
  0.6100	 14.0586	  0.0021
  0.6140	 14.1843	  0.0021
  0.6180	 14.3218	  0.0021
  0.6220	 14.4725	  0.0021
  0.6260	 14.6268	  0.0021
  0.6300	 14.7928	  0.0021
