# distance (nm)	f (kT)	df (kT)
  0.0020	  4.7107	  0.0091
  0.0060	  2.7769	  0.0035
  0.0100	  1.8177	  0.0023
  0.0140	  1.2102	  0.0017
  0.0180	  0.7827	  0.0015
  0.0220	  0.4789	  0.0013
  0.0260	  0.2624	  0.0012
  0.0300	  0.1159	  0.0012
  0.0340	  0.0314	  0.0012
  0.0380	  0.0000	  0.0000
  0.0420	  0.0201	  0.0012
  0.0460	  0.0850	  0.0012
  0.0500	  0.1998	  0.0012
  0.0540	  0.3584	  0.0012
  0.0580	  0.5643	  0.0013
  0.0620	  0.8145	  0.0014
  0.0660	  1.1099	  0.0015
  0.0700	  1.4459	  0.0016
  0.0740	  1.8162	  0.0018
  0.0780	  2.2128	  0.0020
  0.0820	  2.6264	  0.0023
  0.0860	  3.0372	  0.0026
  0.0900	  3.4325	  0.0031
  0.0940	  3.7928	  0.0036
  0.0980	  4.1270	  0.0041
  0.1020	  4.4226	  0.0046
  0.1060	  4.7026	  0.0051
  0.1100	  4.9590	  0.0056
  0.1140	  5.2126	  0.0061
  0.1180	  5.4493	  0.0065
  0.1220	  5.6764	  0.0070
  0.1260	  5.9114	  0.0075
  0.1300	  6.1184	  0.0079
  0.1340	  6.3379	  0.0084
  0.1380	  6.5372	  0.0089
  0.1420	  6.7489	  0.0093
  0.1460	  6.9038	  0.0096
  0.1500	  7.0766	  0.0100
  0.1540	  7.2566	  0.0105
  0.1580	  7.4103	  0.0108
  0.1620	  7.5613	  0.0110
  0.1660	  7.6834	  0.0112
  0.1700	  7.8119	  0.0114
  0.1740	  7.9211	  0.0116
  0.1780	  8.0238	  0.0116
  0.1820	  8.1519	  0.0119
  0.1860	  8.2162	  0.0117
  0.1900	  8.3108	  0.0118
  0.1940	  8.3385	  0.0115
  0.1980	  8.4289	  0.0115
  0.2020	  8.4855	  0.0114
  0.2060	  8.5206	  0.0111
  0.2100	  8.5751	  0.0110
  0.2140	  8.6000	  0.0107
  0.2180	  8.6370	  0.0104
  0.2220	  8.6738	  0.0102
  0.2260	  8.6952	  0.0099
  0.2300	  8.6900	  0.0095
