# distance (nm)	f (kT)	df (kT)
  0.0020	  5.7371	  0.0948
  0.0060	  3.5790	  0.0343
  0.0100	  2.5978	  0.0227
  0.0140	  1.8811	  0.0175
  0.0180	  1.3625	  0.0149
  0.0220	  0.9759	  0.0135
  0.0260	  0.6558	  0.0126
  0.0300	  0.4171	  0.0121
  0.0340	  0.2254	  0.0118
  0.0380	  0.1117	  0.0117
  0.0420	  0.0377	  0.0118
  0.0460	  0.0000	  0.0000
  0.0500	  0.0171	  0.0122
  0.0540	  0.0697	  0.0126
  0.0580	  0.1992	  0.0133
  0.0620	  0.3502	  0.0140
  0.0660	  0.5548	  0.0151
  0.0700	  0.8048	  0.0164
  0.0740	  1.0475	  0.0178
  0.0780	  1.3564	  0.0200
  0.0820	  1.6879	  0.0229
  0.0860	  2.0097	  0.0266
  0.0900	  2.2756	  0.0310
  0.0940	  2.5348	  0.0358
  0.0980	  2.7226	  0.0401
  0.1020	  3.0218	  0.0474
  0.1060	  3.2102	  0.0525
  0.1100	  3.3231	  0.0555
  0.1140	  3.4391	  0.0594
  0.1180	  3.5186	  0.0618
  0.1220	  3.7506	  0.0704
  0.1260	  3.8951	  0.0745
  0.1300	  4.0373	  0.0800
  0.1340	  4.3699	  0.0928
  0.1380	  4.1520	  0.0845
  0.1420	  4.3421	  0.0927
  0.1460	  4.3098	  0.0918
  0.1500	  4.6494	  0.1079
  0.1540	  4.5190	  0.1026
  0.1580	  4.4340	  0.0976
  0.1620	  4.9472	  0.1220
  0.1660	  4.9158	  0.1193
  0.1700	  4.7986	  0.1183
  0.1740	  4.6339	  0.1103
  0.1780	  4.8482	  0.1208
  0.1820	  4.8985	  0.1224
  0.1860	  4.8746	  0.1241
  0.1900	  4.6129	  0.1120
  0.1940	  4.5812	  0.1103
  0.1980	  4.5795	  0.1112
  0.2020	  4.7972	  0.1200
  0.2060	  4.7205	  0.1170
  0.2100	  4.5183	  0.1102
  0.2140	  4.3281	  0.0994
  0.2180	  4.4904	  0.1082
  0.2220	  4.1832	  0.0944
  0.2260	  4.2818	  0.0999
  0.2300	  4.0964	  0.0929
  0.2340	  4.2257	  0.0952
  0.2380	  3.9236	  0.0842
  0.2420	  3.9315	  0.0857
  0.2460	  3.8090	  0.0803
  0.2500	  3.7091	  0.0772
  0.2540	  3.7705	  0.0796
  0.2580	  3.5716	  0.0731
  0.2620	  3.3886	  0.0661
  0.2660	  3.2541	  0.0619
  0.2700	  3.3638	  0.0648
  0.2740	  3.1888	  0.0595
  0.2780	  3.1441	  0.0582
  0.2820	  3.0427	  0.0553
  0.2860	  2.9631	  0.0523
  0.2900	  2.8102	  0.0485
  0.2940	  2.7901	  0.0477
  0.2980	  2.7483	  0.0463
  0.3020	  2.6483	  0.0439
  0.3060	  2.6222	  0.0428
  0.3100	  2.5511	  0.0409
  0.3140	  2.4642	  0.0387
  0.3180	  2.4660	  0.0384
  0.3220	  2.4436	  0.0376
  0.3260	  2.4079	  0.0365
  0.3300	  2.3663	  0.0352
  0.3340	  2.3412	  0.0344
  0.3380	  2.4407	  0.0356
  0.3420	  2.3488	  0.0338
  0.3460	  2.3344	  0.0330
  0.3500	  2.3961	  0.0334
  0.3540	  2.3378	  0.0321
  0.3580	  2.4327	  0.0332
  0.3620	  2.3568	  0.0314
  0.3660	  2.3992	  0.0315
  0.3700	  2.4505	  0.0318
  0.3740	  2.4775	  0.0318
  0.3780	  2.5691	  0.0325
  0.3820	  2.5822	  0.0323
  0.3860	  2.7029	  0.0335
  0.3900	  2.7305	  0.0334
  0.3940	  2.7124	  0.0327
  0.3980	  2.7572	  0.0328
  0.4020	  2.8213	  0.0332
  0.4060	  2.9037	  0.0339
  0.4100	  2.9196	  0.0335
  0.4140	  3.0002	  0.0342
  0.4180	  3.1093	  0.0353
  0.4220	  3.1301	  0.0349
  0.4260	  3.2288	  0.0361
  0.4300	  3.2821	  0.0363
  0.4340	  3.3867	  0.0371
  0.4380	  3.4743	  0.0378
  0.4420	  3.5143	  0.0380
  0.4460	  3.6118	  0.0389
  0.4500	  3.6227	  0.0382
  0.4540	  3.7761	  0.0401
  0.4580	  3.8078	  0.0399
  0.4620	  3.8983	  0.0409
  0.4660	  3.9986	  0.0418
  0.4700	  4.1390	  0.0435
  0.4740	  4.1339	  0.0424
  0.4780	  4.1860	  0.0425
  0.4820	  4.3042	  0.0437
  0.4860	  4.4290	  0.0454
  0.4900	  4.4413	  0.0445
  0.4940	  4.5074	  0.0447
  0.4980	  4.6430	  0.0462
  0.5020	  4.7104	  0.0464
  0.5060	  4.8163	  0.0477
  0.5100	  4.8157	  0.0464
  0.5140	  4.9939	  0.0491
  0.5180	  5.0171	  0.0482
  0.5220	  5.1289	  0.0492
  0.5260	  5.2201	  0.0493
  0.5300	  5.2028	  0.0471
  0.5340	  5.2355	  0.0467
  0.5380	  5.1528	  0.0437
  0.5420	  5.2193	  0.0433
  0.5460	  5.2050	  0.0418
  0.5500	  5.0182	  0.0378
  0.5540	  5.0446	  0.0371
  0.5580	  4.8925	  0.0338
  0.5620	  4.8216	  0.0319
  0.5660	  4.6755	  0.0294
  0.5700	  4.6285	  0.0278
  0.5740	  4.6108	  0.0269
  0.5780	  4.5458	  0.0254
  0.5820	  4.5220	  0.0245
  0.5860	  4.5024	  0.0237
  0.5900	  4.5391	  0.0233
  0.5940	  4.5424	  0.0226
  0.5980	  4.5281	  0.0219
  0.6020	  4.5625	  0.0216
  0.6060	  4.6161	  0.0213
  0.6100	  4.6664	  0.0210
  0.6140	  4.7451	  0.0210
  0.6180	  4.8057	  0.0209
  0.6220	  4.9134	  0.0210
  0.6260	  5.0290	  0.0212
  0.6300	  5.1073	  0.0211
  0.6340	  5.2368	  0.0214
  0.6380	  5.3452	  0.0215
  0.6420	  5.4578	  0.0217
  0.6460	  5.5872	  0.0219
  0.6500	  5.7264	  0.0223
