# distance (nm)	f (kT)	df (kT)
  0.0020	 21.5536	  0.0957
  0.0060	 19.2843	  0.0371
  0.0100	 18.1903	  0.0268
  0.0140	 17.3633	  0.0225
  0.0180	 16.7380	  0.0206
  0.0220	 16.2491	  0.0196
  0.0260	 15.8324	  0.0189
  0.0300	 15.5034	  0.0186
  0.0340	 15.2294	  0.0184
  0.0380	 15.0397	  0.0183
  0.0420	 14.8999	  0.0183
  0.0460	 14.8022	  0.0184
  0.0500	 14.7730	  0.0186
  0.0540	 14.7848	  0.0188
  0.0580	 14.8860	  0.0193
  0.0620	 15.0136	  0.0199
  0.0660	 15.1878	  0.0209
  0.0700	 15.4265	  0.0223
  0.0740	 15.6326	  0.0241
  0.0780	 15.8661	  0.0271
  0.0820	 16.1226	  0.0312
  0.0860	 16.3293	  0.0362
  0.0900	 16.4453	  0.0404
  0.0940	 16.5732	  0.0454
  0.0980	 16.6206	  0.0494
  0.1020	 16.7944	  0.0563
  0.1060	 16.8727	  0.0617
  0.1100	 16.9212	  0.0650
  0.1140	 16.9249	  0.0689
  0.1180	 16.9214	  0.0718
  0.1220	 17.0153	  0.0811
  0.1260	 17.1174	  0.0867
  0.1300	 17.1674	  0.0925
  0.1340	 17.4298	  0.1111
  0.1380	 17.0880	  0.0991
  0.1420	 17.1872	  0.1077
  0.1460	 17.0288	  0.1063
  0.1500	 17.2817	  0.1270
  0.1540	 17.0054	  0.1183
  0.1580	 16.8294	  0.1147
  0.1620	 17.3134	  0.1459
  0.1660	 17.1620	  0.1504
  0.1700	 16.8307	  0.1377
  0.1740	 16.5198	  0.1292
  0.1780	 16.6580	  0.1433
  0.1820	 16.6210	  0.1466
  0.1860	 16.4155	  0.1468
  0.1900	 15.9696	  0.1285
  0.1940	 15.8210	  0.1259
  0.1980	 15.6439	  0.1284
  0.2020	 15.8350	  0.1429
  0.2060	 15.5965	  0.1397
  0.2100	 15.1396	  0.1275
  0.2140	 14.8577	  0.1170
  0.2180	 14.8868	  0.1257
  0.2220	 14.4103	  0.1072
  0.2260	 14.3413	  0.1151
  0.2300	 13.9794	  0.1045
  0.2340	 14.0618	  0.1130
  0.2380	 13.5435	  0.0973
  0.2420	 13.3504	  0.0989
  0.2460	 13.1063	  0.0931
  0.2500	 12.8185	  0.0885
  0.2540	 12.7331	  0.0902
  0.2580	 12.3631	  0.0812
  0.2620	 12.0319	  0.0744
  0.2660	 11.7244	  0.0696
  0.2700	 11.7051	  0.0731
  0.2740	 11.3568	  0.0668
  0.2780	 11.1596	  0.0645
  0.2820	 10.8822	  0.0609
  0.2860	 10.6629	  0.0584
  0.2900	 10.3318	  0.0537
  0.2940	 10.1493	  0.0523
  0.2980	  9.9834	  0.0510
  0.3020	  9.7149	  0.0479
  0.3060	  9.5304	  0.0467
  0.3100	  9.3401	  0.0448
  0.3140	  9.1016	  0.0426
  0.3180	  8.9636	  0.0420
  0.3220	  8.7873	  0.0409
  0.3260	  8.5995	  0.0396
  0.3300	  8.4144	  0.0384
  0.3340	  8.2733	  0.0377
  0.3380	  8.2184	  0.0386
  0.3420	  7.9888	  0.0366
  0.3460	  7.8445	  0.0359
  0.3500	  7.7678	  0.0363
  0.3540	  7.5692	  0.0348
  0.3580	  7.5594	  0.0359
  0.3620	  7.3162	  0.0341
  0.3660	  7.2303	  0.0342
  0.3700	  7.1331	  0.0343
  0.3740	  7.0572	  0.0344
  0.3780	  7.0164	  0.0351
  0.3820	  6.9052	  0.0348
  0.3860	  6.8870	  0.0360
  0.3900	  6.7990	  0.0359
  0.3940	  6.6501	  0.0350
  0.3980	  6.5735	  0.0352
  0.4020	  6.5053	  0.0355
  0.4060	  6.4815	  0.0364
  0.4100	  6.3630	  0.0360
  0.4140	  6.3240	  0.0366
  0.4180	  6.3056	  0.0377
  0.4220	  6.1916	  0.0373
  0.4260	  6.1846	  0.0384
  0.4300	  6.1283	  0.0387
  0.4340	  6.0826	  0.0395
  0.4380	  6.0368	  0.0402
  0.4420	  5.9701	  0.0403
  0.4460	  5.9720	  0.0415
  0.4500	  5.8284	  0.0406
  0.4540	  5.8515	  0.0425
  0.4580	  5.7659	  0.0423
  0.4620	  5.7543	  0.0434
  0.4660	  5.7065	  0.0441
  0.4700	  5.7403	  0.0462
  0.4740	  5.6291	  0.0453
  0.4780	  5.5271	  0.0449
  0.4820	  5.5153	  0.0462
  0.4860	  5.5412	  0.0481
  0.4900	  5.4268	  0.0471
  0.4940	  5.3560	  0.0473
  0.4980	  5.3939	  0.0494
  0.5020	  5.3201	  0.0495
  0.5060	  5.3000	  0.0506
  0.5100	  5.1853	  0.0494
  0.5140	  5.2658	  0.0525
  0.5180	  5.1673	  0.0517
  0.5220	  5.1451	  0.0530
  0.5260	  5.1034	  0.0537
  0.5300	  4.9976	  0.0524
  0.5340	  4.9287	  0.0520
  0.5380	  4.7665	  0.0490
  0.5420	  4.7623	  0.0496
  0.5460	  4.7243	  0.0487
  0.5500	  4.3964	  0.0431
  0.5540	  4.3190	  0.0424
  0.5580	  4.0239	  0.0384
  0.5620	  3.8027	  0.0361
  0.5660	  3.5336	  0.0329
  0.5700	  3.3315	  0.0313
  0.5740	  3.1295	  0.0299
  0.5780	  2.9373	  0.0283
  0.5820	  2.7517	  0.0271
  0.5860	  2.5835	  0.0260
  0.5900	  2.4626	  0.0255
  0.5940	  2.3150	  0.0247
  0.5980	  2.1642	  0.0239
  0.6020	  2.0411	  0.0233
  0.6060	  1.9480	  0.0230
  0.6100	  1.8503	  0.0227
  0.6140	  1.7970	  0.0226
  0.6180	  1.7294	  0.0224
  0.6220	  1.6771	  0.0224
  0.6260	  1.6701	  0.0226
  0.6300	  1.6088	  0.0225
  0.6340	  1.6169	  0.0228
  0.6380	  1.5937	  0.0229
