# distance (nm)	f (kT)	df (kT)
  0.0020	  5.2494	  0.0955
  0.0060	  3.1734	  0.0347
  0.0100	  2.2699	  0.0231
  0.0140	  1.6251	  0.0179
  0.0180	  1.1704	  0.0154
  0.0220	  0.8419	  0.0140
  0.0260	  0.5721	  0.0131
  0.0300	  0.3736	  0.0126
  0.0340	  0.2108	  0.0123
  0.0380	  0.1163	  0.0123
  0.0420	  0.0485	  0.0123
  0.0460	  0.0071	  0.0124
  0.0500	  0.0000	  0.0000
  0.0540	  0.0187	  0.0132
  0.0580	  0.0960	  0.0138
  0.0620	  0.1811	  0.0146
  0.0660	  0.3165	  0.0157
  0.0700	  0.4615	  0.0170
  0.0740	  0.6116	  0.0183
  0.0780	  0.8325	  0.0202
  0.0820	  1.0710	  0.0225
  0.0860	  1.3202	  0.0251
  0.0900	  1.6056	  0.0281
  0.0940	  1.8925	  0.0315
  0.0980	  2.1496	  0.0346
  0.1020	  2.5215	  0.0400
  0.1060	  2.7672	  0.0436
  0.1100	  3.0586	  0.0480
  0.1140	  3.2939	  0.0518
  0.1180	  3.5203	  0.0555
  0.1220	  3.8021	  0.0618
  0.1260	  3.9509	  0.0654
  0.1300	  4.2431	  0.0724
  0.1340	  4.5127	  0.0817
  0.1380	  4.4851	  0.0771
  0.1420	  4.6843	  0.0826
  0.1460	  4.7281	  0.0816
  0.1500	  5.0486	  0.0936
  0.1540	  5.1298	  0.0926
  0.1580	  5.0354	  0.0862
  0.1620	  5.6177	  0.1109
  0.1660	  5.4892	  0.1014
  0.1700	  5.6291	  0.1032
  0.1740	  5.6403	  0.0988
  0.1780	  5.9031	  0.1086
  0.1820	  5.9825	  0.1092
  0.1860	  6.0591	  0.1089
  0.1900	  6.0706	  0.1023
  0.1940	  6.1456	  0.1016
  0.1980	  6.2474	  0.1020
  0.2020	  6.4425	  0.1094
  0.2060	  6.4052	  0.1033
  0.2100	  6.5333	  0.1025
  0.2140	  6.3791	  0.0914
  0.2180	  6.6570	  0.0994
  0.2220	  6.5028	  0.0876
  0.2260	  6.6832	  0.0917
  0.2300	  6.7389	  0.0875
  0.2340	  6.7683	  0.0877
  0.2380	  6.7467	  0.0800
  0.2420	  6.8705	  0.0813
  0.2460	  6.8182	  0.0758
  0.2500	  6.8880	  0.0738
  0.2540	  7.0916	  0.0769
  0.2580	  7.1371	  0.0726
  0.2620	  7.0376	  0.0659
  0.2660	  7.0816	  0.0629
  0.2700	  7.2428	  0.0654
  0.2740	  7.1927	  0.0606
  0.2780	  7.3174	  0.0599
  0.2820	  7.4265	  0.0582
  0.2860	  7.4178	  0.0554
  0.2900	  7.4052	  0.0521
  0.2940	  7.5713	  0.0520
  0.2980	  7.6213	  0.0506
  0.3020	  7.6809	  0.0484
  0.3060	  7.7762	  0.0477
  0.3100	  7.7582	  0.0456
  0.3140	  7.7710	  0.0437
  0.3180	  7.9283	  0.0435
  0.3220	  8.0296	  0.0431
  0.3260	  8.1503	  0.0421
  0.3300	  8.1940	  0.0411
  0.3340	  8.2774	  0.0401
  0.3380	  8.4992	  0.0418
  0.3420	  8.5354	  0.0397
  0.3460	  8.5910	  0.0391
  0.3500	  8.7827	  0.0397
  0.3540	  8.8197	  0.0385
  0.3580	  8.9975	  0.0393
  0.3620	  9.0403	  0.0380
  0.3660	  9.1847	  0.0382
  0.3700	  9.3609	  0.0388
  0.3740	  9.4329	  0.0385
  0.3780	  9.6120	  0.0397
  0.3820	  9.7260	  0.0391
  0.3860	  9.9557	  0.0411
  0.3900	 10.0388	  0.0409
  0.3940	 10.1577	  0.0397
  0.3980	 10.2918	  0.0397
  0.4020	 10.4316	  0.0406
  0.4060	 10.5401	  0.0413
  0.4100	 10.6959	  0.0408
  0.4140	 10.8731	  0.0414
  0.4180	 11.0557	  0.0430
  0.4220	 11.1930	  0.0424
  0.4260	 11.3380	  0.0436
  0.4300	 11.4487	  0.0437
  0.4340	 11.6919	  0.0451
  0.4380	 11.8705	  0.0461
  0.4420	 11.9955	  0.0458
  0.4460	 12.1041	  0.0466
  0.4500	 12.2635	  0.0462
  0.4540	 12.5315	  0.0486
  0.4580	 12.6260	  0.0483
  0.4620	 12.7978	  0.0487
  0.4660	 13.0051	  0.0503
  0.4700	 13.2246	  0.0523
  0.4740	 13.2249	  0.0505
  0.4780	 13.4432	  0.0511
  0.4820	 13.6460	  0.0527
  0.4860	 13.7894	  0.0539
  0.4900	 13.8992	  0.0528
