# distance (nm)	f (kT)	df (kT)
  0.0080	  2.6662	  0.1804
  0.0240	  1.1158	  0.1406
  0.0400	  0.9824	  0.1386
  0.0560	  1.5320	  0.1428
  0.0720	  2.8220	  0.1595
  0.0880	  4.0244	  0.2043
  0.1040	  5.6021	  0.3345
  0.1200	  6.6711	  0.5134
  0.1360	  7.5982	  0.5717
  0.1520	  8.5294	  0.5760
  0.1680	  8.1337	  0.6183
  0.1840	  8.2305	  0.5033
  0.2000	  8.0679	  0.5607
  0.2160	  7.4149	  0.4749
  0.2320	  7.5842	  0.4853
  0.2480	  8.0086	  0.5899
  0.2640	  6.8365	  0.3660
  0.2800	  6.5462	  0.3257
  0.2960	  6.0546	  0.2642
  0.3120	  6.0092	  0.2436
  0.3280	  5.9406	  0.2435
  0.3440	  5.6276	  0.2157
  0.3600	  5.7080	  0.2156
  0.3760	  5.7981	  0.2207
  0.3920	  5.4901	  0.2040
  0.4080	  5.5978	  0.2061
  0.4240	  6.0685	  0.2414
  0.4400	  6.0481	  0.2391
  0.4560	  5.9321	  0.2301
  0.4720	  6.2945	  0.2610
  0.4880	  6.1566	  0.2424
  0.5040	  6.4964	  0.2783
  0.5200	  6.6719	  0.2946
  0.5360	  6.4354	  0.2877
  0.5520	  5.9746	  0.2398
  0.5680	  5.3606	  0.2086
  0.5840	  4.6375	  0.1794
  0.6000	  4.4375	  0.1743
  0.6160	  4.0713	  0.1676
  0.6320	  3.9935	  0.1687
  0.6480	  3.9533	  0.1707
  0.6640	  4.0108	  0.1751
  0.6800	  4.3204	  0.1905
  0.6960	  4.4922	  0.2039
  0.7120	  4.1251	  0.1910
  0.7280	  4.5437	  0.2201
  0.7440	  4.5823	  0.2279
  0.7600	  4.8654	  0.2584
  0.7760	  5.0981	  0.2950
  0.7920	  0.0000	  0.0000
