# distance (nm)	f (kT)	df (kT)
  0.0133	 12.4585	  0.0013
  0.0400	 10.0824	  0.0012
  0.0667	  9.3357	  0.0013
  0.0933	  9.7800	  0.0016
  0.1200	 10.3717	  0.0025
  0.1467	 10.2769	  0.0035
  0.1733	  9.8363	  0.0041
  0.2000	  9.1086	  0.0041
  0.2267	  8.2005	  0.0036
  0.2533	  7.1834	  0.0029
  0.2800	  6.1851	  0.0023
  0.3067	  5.2898	  0.0019
  0.3333	  4.5553	  0.0017
  0.3600	  3.9892	  0.0016
  0.3867	  3.5758	  0.0016
  0.4133	  3.2746	  0.0016
  0.4400	  3.0546	  0.0018
  0.4667	  2.8790	  0.0019
  0.4933	  2.7147	  0.0020
  0.5200	  2.3739	  0.0020
  0.5467	  1.4584	  0.0016
  0.5733	  0.5499	  0.0012
  0.6000	  0.0788	  0.0011
  0.6267	  0.0000	  0.0000
  0.6533	  0.1602	  0.0011
  0.6800	  0.4169	  0.0012
  0.7067	  0.7552	  0.0013
  0.7333	  1.2098	  0.0015
  0.7600	  1.7553	  0.0018
  0.7867	  1.3867	  0.0014
