# distance (nm)	f (kT)	df (kT)
  0.0133	  1.3636	  0.0007
  0.0400	  0.0000	  0.0000
  0.0667	  0.9811	  0.0006
  0.0933	  3.0754	  0.0017
  0.1200	  4.4031	  0.0032
  0.1467	  5.2802	  0.0047
  0.1733	  5.5489	  0.0058
  0.2000	  5.1593	  0.0057
  0.2267	  4.2750	  0.0048
  0.2533	  3.1286	  0.0035
  0.2800	  2.0082	  0.0025
  0.3067	  1.1066	  0.0019
  0.3333	  0.5195	  0.0016
  0.3600	  0.2477	  0.0014
  0.3867	  0.2482	  0.0015
  0.4133	  0.4355	  0.0015
  0.4400	  0.7455	  0.0017
  0.4667	  1.1098	  0.0019
  0.4933	  1.4944	  0.0020
  0.5200	  1.8646	  0.0022
  0.5467	  1.9800	  0.0020
  0.5733	  1.2955	  0.0014
  0.6000	  0.8140	  0.0012
  0.6267	  0.9340	  0.0012
  0.6533	  1.4933	  0.0012
  0.6800	  2.2467	  0.0013
  0.7067	  3.0497	  0.0015
  0.7333	  3.9212	  0.0017
  0.7600	  4.9327	  0.0020
  0.7867	  5.5560	  0.0019
