# distance (nm)	f (kT)	df (kT)
  0.0080	  3.0802	  0.0041
  0.0240	  1.1109	  0.0023
  0.0400	  0.2641	  0.0021
  0.0560	  0.0000	  0.0000
  0.0720	  0.2102	  0.0029
  0.0880	  0.8417	  0.0042
  0.1040	  1.7500	  0.0065
  0.1200	  2.5626	  0.0094
  0.1360	  3.0953	  0.0122
  0.1520	  3.4123	  0.0143
  0.1680	  3.6793	  0.0160
  0.1840	  3.8387	  0.0167
  0.2000	  3.8630	  0.0161
  0.2160	  3.8724	  0.0151
  0.2320	  3.8363	  0.0138
  0.2480	  3.7751	  0.0122
  0.2640	  3.7175	  0.0106
  0.2800	  3.6660	  0.0093
  0.2960	  3.6399	  0.0082
  0.3120	  3.6676	  0.0074
  0.3280	  3.7589	  0.0069
  0.3440	  3.8990	  0.0065
  0.3600	  4.0974	  0.0064
  0.3760	  4.3346	  0.0064
  0.3920	  4.6159	  0.0065
  0.4080	  4.9456	  0.0068
  0.4240	  5.2922	  0.0071
  0.4400	  5.6740	  0.0075
  0.4560	  6.0623	  0.0079
  0.4720	  6.4609	  0.0083
  0.4880	  6.8595	  0.0087
  0.5040	  7.2138	  0.0091
  0.5200	  7.4334	  0.0091
  0.5360	  7.3887	  0.0080
  0.5520	  7.2957	  0.0066
  0.5680	  7.2797	  0.0055
  0.5840	  7.4384	  0.0049
  0.6000	  7.7503	  0.0047
  0.6160	  8.1901	  0.0046
  0.6320	  8.7332	  0.0047
  0.6480	  9.3470	  0.0049
  0.6640	  9.9962	  0.0051
  0.6800	 10.6591	  0.0054
  0.6960	 11.3667	  0.0058
  0.7120	 12.1051	  0.0062
  0.7280	 12.8828	  0.0067
  0.7440	 13.6992	  0.0074
  0.7600	 14.5471	  0.0084
  0.7760	 15.3767	  0.0094
  0.7920	 15.6368	  0.0073
