# distance (nm)	f (kT)	df (kT)
  0.0080	  2.5506	  0.0040
  0.0240	  0.7161	  0.0023
  0.0400	  0.0456	  0.0021
  0.0560	  0.0000	  0.0000
  0.0720	  0.4772	  0.0028
  0.0880	  1.4104	  0.0041
  0.1040	  2.5659	  0.0063
  0.1200	  3.4780	  0.0093
  0.1360	  4.1248	  0.0122
  0.1520	  4.5981	  0.0142
  0.1680	  5.0144	  0.0159
  0.1840	  5.3065	  0.0166
  0.2000	  5.4543	  0.0160
  0.2160	  5.5702	  0.0149
  0.2320	  5.6400	  0.0135
  0.2480	  5.6736	  0.0118
  0.2640	  5.7045	  0.0102
  0.2800	  5.7521	  0.0089
  0.2960	  5.8232	  0.0077
  0.3120	  5.9542	  0.0069
  0.3280	  6.1565	  0.0064
  0.3440	  6.4125	  0.0060
  0.3600	  6.7350	  0.0059
  0.3760	  7.1003	  0.0059
  0.3920	  7.5162	  0.0060
  0.4080	  7.9831	  0.0062
  0.4240	  8.4698	  0.0065
  0.4400	  8.9886	  0.0069
  0.4560	  9.5173	  0.0072
  0.4720	 10.0591	  0.0076
  0.4880	 10.6020	  0.0080
  0.5040	 11.1265	  0.0083
  0.5200	 11.5598	  0.0083
  0.5360	 11.7098	  0.0075
  0.5520	 11.7222	  0.0063
  0.5680	 11.7814	  0.0053
  0.5840	 12.0134	  0.0047
  0.6000	 12.4157	  0.0044
  0.6160	 12.9640	  0.0044
  0.6320	 13.6276	  0.0044
  0.6480	 14.3710	  0.0046
  0.6640	 15.1548	  0.0048
  0.6800	 15.9531	  0.0051
  0.6960	 16.7893	  0.0054
  0.7120	 17.6537	  0.0057
  0.7280	 18.5620	  0.0062
  0.7440	 19.5107	  0.0068
  0.7600	 20.4975	  0.0077
  0.7760	 21.4678	  0.0087
  0.7920	 21.9662	  0.0071
