# distance (nm)	f (kT)	df (kT)
  0.0133	  1.0757	  0.0210
  0.0400	  0.0000	  0.0000
  0.0667	  0.9740	  0.0189
  0.0933	  3.3779	  0.0398
  0.1200	  5.3441	  0.0817
  0.1467	  6.8628	  0.1252
  0.1733	  8.0070	  0.1561
  0.2000	  8.2960	  0.1392
  0.2267	  8.7177	  0.1283
  0.2533	  8.6885	  0.0966
  0.2800	  8.8836	  0.0759
  0.3067	  8.9456	  0.0566
  0.3333	  9.3334	  0.0478
  0.3600	  9.8955	  0.0436
  0.3867	 10.8061	  0.0451
  0.4133	 11.7499	  0.0467
  0.4400	 12.9042	  0.0513
  0.4667	 14.0697	  0.0575
  0.4933	 15.2471	  0.0617
  0.5200	 16.3513	  0.0638
  0.5467	 17.2328	  0.0573
  0.5733	 17.2735	  0.0417
  0.6000	 17.8435	  0.0373
  0.6267	 18.9119	  0.0371
  0.6533	 20.3330	  0.0389
  0.6800	 21.8714	  0.0416
  0.7067	 23.5501	  0.0457
  0.7333	 25.1672	  0.0504
  0.7600	 27.1624	  0.0622
  0.7867	 28.7540	  0.0637
