# distance (nm)	f (kT)	df (kT)
  0.0133	  7.7628	  0.0412
  0.0400	  5.5551	  0.0379
  0.0667	  4.9988	  0.0394
  0.0933	  5.6793	  0.0491
  0.1200	  6.4682	  0.0788
  0.1467	  6.6765	  0.1160
  0.1733	  6.5276	  0.1399
  0.2000	  5.8455	  0.1264
  0.2267	  5.3115	  0.1199
  0.2533	  4.4566	  0.0941
  0.2800	  3.6660	  0.0763
  0.3067	  2.9069	  0.0610
  0.3333	  2.4163	  0.0534
  0.3600	  1.9573	  0.0491
  0.3867	  1.8320	  0.0502
  0.4133	  1.6555	  0.0511
  0.4400	  1.7189	  0.0550
  0.4667	  1.7227	  0.0600
  0.4933	  1.7627	  0.0637
  0.5200	  1.6296	  0.0633
  0.5467	  1.0582	  0.0533
  0.5733	  0.2198	  0.0386
  0.6000	  0.0000	  0.0000
  0.6267	  0.1317	  0.0338
  0.6533	  0.4902	  0.0356
  0.6800	  0.9423	  0.0384
  0.7067	  1.5173	  0.0429
  0.7333	  2.1224	  0.0481
  0.7600	  3.0161	  0.0606
  0.7867	  2.9806	  0.0489
