# distance (nm)	f (kT)	df (kT)
  0.0080	  4.5880	  0.0209
  0.0240	  2.8475	  0.0172
  0.0400	  2.2279	  0.0168
  0.0560	  2.1570	  0.0171
  0.0720	  2.5363	  0.0182
  0.0880	  3.3184	  0.0213
  0.1040	  4.3494	  0.0277
  0.1200	  5.2705	  0.0363
  0.1360	  5.9835	  0.0472
  0.1520	  6.2628	  0.0516
  0.1680	  6.6232	  0.0594
  0.1840	  6.8464	  0.0617
  0.2000	  6.8350	  0.0591
  0.2160	  6.7560	  0.0539
  0.2320	  6.6966	  0.0495
  0.2480	  6.5148	  0.0443
  0.2640	  6.3614	  0.0392
  0.2800	  6.2033	  0.0352
  0.2960	  6.0636	  0.0314
  0.3120	  5.8699	  0.0284
  0.3280	  5.7928	  0.0268
  0.3440	  5.7852	  0.0262
  0.3600	  5.7248	  0.0255
  0.3760	  5.7807	  0.0256
  0.3920	  5.8569	  0.0261
  0.4080	  5.8535	  0.0264
  0.4240	  5.9584	  0.0274
  0.4400	  6.0656	  0.0286
  0.4560	  6.1462	  0.0293
  0.4720	  6.2583	  0.0309
  0.4880	  6.2786	  0.0320
  0.5040	  6.2669	  0.0329
  0.5200	  6.1153	  0.0334
  0.5360	  5.7063	  0.0305
  0.5520	  5.1423	  0.0260
  0.5680	  4.6524	  0.0229
  0.5840	  4.3298	  0.0214
  0.6000	  4.1539	  0.0207
  0.6160	  4.0859	  0.0205
  0.6320	  4.0719	  0.0208
  0.6480	  4.0978	  0.0211
  0.6640	  4.1468	  0.0218
  0.6800	  4.2518	  0.0227
  0.6960	  4.3002	  0.0234
  0.7120	  4.4138	  0.0246
  0.7280	  4.5362	  0.0264
  0.7440	  4.7052	  0.0287
  0.7600	  4.9054	  0.0312
  0.7760	  5.0382	  0.0345
  0.7920	  0.0000	  0.0000
