# distance (nm)	f (kT)	df (kT)
  0.0080	  1.7322	  0.0140
  0.0240	  0.1924	  0.0075
  0.0400	  0.0000	  0.0000
  0.0560	  0.6710	  0.0075
  0.0720	  2.0936	  0.0105
  0.0880	  3.7934	  0.0196
  0.1040	  5.0294	  0.0315
  0.1200	  6.0315	  0.0427
  0.1360	  7.0084	  0.0578
  0.1520	  7.4689	  0.0649
  0.1680	  8.0941	  0.0750
  0.1840	  8.2594	  0.0760
  0.2000	  8.1069	  0.0731
  0.2160	  7.8312	  0.0645
  0.2320	  7.5862	  0.0576
  0.2480	  7.1705	  0.0496
  0.2640	  6.6653	  0.0396
  0.2800	  6.2580	  0.0329
  0.2960	  5.7967	  0.0269
  0.3120	  5.4460	  0.0228
  0.3280	  5.1906	  0.0202
  0.3440	  5.0836	  0.0191
  0.3600	  4.9762	  0.0181
  0.3760	  5.0021	  0.0181
  0.3920	  5.0917	  0.0186
  0.4080	  5.1578	  0.0190
  0.4240	  5.3142	  0.0200
  0.4400	  5.4829	  0.0213
  0.4560	  5.5974	  0.0223
  0.4720	  5.7852	  0.0240
  0.4880	  5.8845	  0.0252
  0.5040	  5.9970	  0.0266
  0.5200	  6.1239	  0.0283
  0.5360	  6.0818	  0.0276
  0.5520	  5.7699	  0.0235
  0.5680	  5.0375	  0.0182
  0.5840	  4.4356	  0.0155
  0.6000	  4.0174	  0.0142
  0.6160	  3.7841	  0.0138
  0.6320	  3.7255	  0.0140
  0.6480	  3.7496	  0.0144
  0.6640	  3.8362	  0.0151
  0.6800	  3.9814	  0.0162
  0.6960	  4.0431	  0.0171
  0.7120	  4.1657	  0.0183
  0.7280	  4.3210	  0.0200
  0.7440	  4.4958	  0.0222
  0.7600	  4.7064	  0.0248
  0.7760	  4.9142	  0.0280
  0.7920	  0.0891	  0.0162
