# distance (nm)	f (kT)	df (kT)
  0.0080	  2.5394	  0.0012
  0.0240	  0.6187	  0.0007
  0.0400	  0.0000	  0.0000
  0.0560	  0.2039	  0.0006
  0.0720	  1.1344	  0.0009
  0.0880	  2.4343	  0.0015
  0.1040	  3.4046	  0.0026
  0.1200	  4.0905	  0.0036
  0.1360	  4.6469	  0.0046
  0.1520	  5.0420	  0.0055
  0.1680	  5.2706	  0.0061
  0.1840	  5.3223	  0.0063
  0.2000	  5.1855	  0.0061
  0.2160	  4.9408	  0.0057
  0.2320	  4.5773	  0.0050
  0.2480	  4.1583	  0.0042
  0.2640	  3.7208	  0.0035
  0.2800	  3.3254	  0.0029
  0.2960	  2.9799	  0.0024
  0.3120	  2.7256	  0.0021
  0.3280	  2.5648	  0.0019
  0.3440	  2.4991	  0.0018
  0.3600	  2.5277	  0.0017
  0.3760	  2.6367	  0.0017
  0.3920	  2.8181	  0.0017
  0.4080	  3.0475	  0.0018
  0.4240	  3.3243	  0.0019
  0.4400	  3.6277	  0.0020
  0.4560	  3.9458	  0.0021
  0.4720	  4.2842	  0.0022
  0.4880	  4.6227	  0.0024
  0.5040	  4.9543	  0.0025
  0.5200	  5.2794	  0.0026
  0.5360	  5.4857	  0.0025
  0.5520	  5.3696	  0.0021
  0.5680	  5.0349	  0.0017
  0.5840	  4.8060	  0.0014
  0.6000	  4.7925	  0.0013
  0.6160	  4.9889	  0.0013
  0.6320	  5.3530	  0.0013
  0.6480	  5.8378	  0.0014
  0.6640	  6.3885	  0.0014
  0.6800	  6.9662	  0.0015
  0.6960	  7.5589	  0.0016
  0.7120	  8.1709	  0.0017
  0.7280	  8.8265	  0.0018
  0.7440	  9.5340	  0.0020
  0.7600	 10.2800	  0.0023
  0.7760	 11.0331	  0.0026
  0.7920	 11.1358	  0.0020
