# distance (nm)	f (kT)	df (kT)
  0.0080	  3.0568	  0.0013
  0.0240	  1.0290	  0.0007
  0.0400	  0.1828	  0.0007
  0.0560	  0.0000	  0.0000
  0.0720	  0.3887	  0.0009
  0.0880	  1.2568	  0.0013
  0.1040	  2.2178	  0.0021
  0.1200	  2.8384	  0.0031
  0.1360	  3.2335	  0.0039
  0.1520	  3.4964	  0.0046
  0.1680	  3.6457	  0.0051
  0.1840	  3.6800	  0.0053
  0.2000	  3.5887	  0.0052
  0.2160	  3.4383	  0.0048
  0.2320	  3.2063	  0.0043
  0.2480	  2.9432	  0.0037
  0.2640	  2.6668	  0.0032
  0.2800	  2.4217	  0.0027
  0.2960	  2.2083	  0.0024
  0.3120	  2.0605	  0.0021
  0.3280	  1.9774	  0.0019
  0.3440	  1.9662	  0.0018
  0.3600	  2.0201	  0.0018
  0.3760	  2.1374	  0.0018
  0.3920	  2.3080	  0.0018
  0.4080	  2.5156	  0.0019
  0.4240	  2.7656	  0.0019
  0.4400	  3.0378	  0.0021
  0.4560	  3.3195	  0.0022
  0.4720	  3.6232	  0.0023
  0.4880	  3.9256	  0.0024
  0.5040	  4.2190	  0.0025
  0.5200	  4.4451	  0.0025
  0.5360	  4.4228	  0.0023
  0.5520	  4.1766	  0.0019
  0.5680	  3.9378	  0.0016
  0.5840	  3.8593	  0.0014
  0.6000	  3.9696	  0.0014
  0.6160	  4.2449	  0.0013
  0.6320	  4.6446	  0.0014
  0.6480	  5.1321	  0.0014
  0.6640	  5.6642	  0.0015
  0.6800	  6.2157	  0.0015
  0.6960	  6.7939	  0.0016
  0.7120	  7.4060	  0.0017
  0.7280	  8.0647	  0.0019
  0.7440	  8.7674	  0.0021
  0.7600	  9.4950	  0.0023
  0.7760	 10.2260	  0.0026
  0.7920	 10.2771	  0.0020
