# distance (nm)	f (kT)	df (kT)
  0.0080	  4.6152	  0.0021
  0.0240	  2.8607	  0.0017
  0.0400	  2.2390	  0.0017
  0.0560	  2.1703	  0.0017
  0.0720	  2.5440	  0.0018
  0.0880	  3.3316	  0.0021
  0.1040	  4.3877	  0.0028
  0.1200	  5.3297	  0.0037
  0.1360	  5.9539	  0.0046
  0.1520	  6.3556	  0.0054
  0.1680	  6.6248	  0.0058
  0.1840	  6.7788	  0.0060
  0.2000	  6.8153	  0.0058
  0.2160	  6.7972	  0.0055
  0.2320	  6.6932	  0.0050
  0.2480	  6.5508	  0.0044
  0.2640	  6.3810	  0.0039
  0.2800	  6.2185	  0.0035
  0.2960	  6.0590	  0.0031
  0.3120	  5.9341	  0.0029
  0.3280	  5.8393	  0.0027
  0.3440	  5.7879	  0.0026
  0.3600	  5.7696	  0.0026
  0.3760	  5.7896	  0.0026
  0.3920	  5.8390	  0.0026
  0.4080	  5.9021	  0.0026
  0.4240	  5.9889	  0.0027
  0.4400	  6.0820	  0.0028
  0.4560	  6.1619	  0.0029
  0.4720	  6.2477	  0.0031
  0.4880	  6.3100	  0.0032
  0.5040	  6.3054	  0.0033
  0.5200	  6.1257	  0.0033
  0.5360	  5.6844	  0.0030
  0.5520	  5.1551	  0.0026
  0.5680	  4.6958	  0.0023
  0.5840	  4.3721	  0.0021
  0.6000	  4.1822	  0.0021
  0.6160	  4.1018	  0.0021
  0.6320	  4.0947	  0.0021
  0.6480	  4.1334	  0.0021
  0.6640	  4.1847	  0.0022
  0.6800	  4.2399	  0.0023
  0.6960	  4.3210	  0.0024
  0.7120	  4.4281	  0.0025
  0.7280	  4.5670	  0.0026
  0.7440	  4.7371	  0.0029
  0.7600	  4.9206	  0.0031
  0.7760	  5.0956	  0.0035
  0.7920	  0.0000	  0.0000
