# distance (nm)	f (kT)	df (kT)
  0.0020	  7.0175	  0.4554
  0.0060	  4.1050	  0.1076
  0.0100	  3.1441	  0.0731
  0.0140	  2.5251	  0.0597
  0.0180	  1.9763	  0.0516
  0.0220	  1.5610	  0.0471
  0.0260	  1.2005	  0.0443
  0.0300	  0.8514	  0.0424
  0.0340	  0.6946	  0.0427
  0.0380	  0.5401	  0.0424
  0.0420	  0.3736	  0.0420
  0.0460	  0.2337	  0.0421
  0.0500	  0.1600	  0.0432
  0.0540	  0.1214	  0.0447
  0.0580	  0.0000	  0.0000
  0.0620	  0.0497	  0.0486
  0.0660	  0.1439	  0.0527
  0.0700	  0.1697	  0.0562
  0.0740	  0.1823	  0.0608
  0.0780	  0.2441	  0.0652
  0.0820	  0.5649	  0.0780
  0.0860	  0.4405	  0.0778
  0.0900	  0.7259	  0.0930
  0.0940	  0.9329	  0.1073
  0.0980	  1.2237	  0.1250
  0.1020	  1.4366	  0.1447
  0.1060	  1.5982	  0.1574
  0.1100	  1.8929	  0.1788
  0.1140	  1.9478	  0.1824
  0.1180	  1.7939	  0.1730
  0.1220	  2.4499	  0.2528
  0.1260	  2.6966	  0.2513
  0.1300	  2.6580	  0.2491
  0.1340	  2.6145	  0.2448
  0.1380	  3.2061	  0.2897
  0.1420	  3.5674	  0.3628
  0.1460	  3.1196	  0.2698
  0.1500	  3.3430	  0.3550
  0.1540	  3.2197	  0.3105
  0.1580	  2.9671	  0.2966
  0.1620	  3.6891	  0.3422
  0.1660	  3.7257	  0.4132
  0.1700	  3.6059	  0.3796
  0.1740	  3.1156	  0.2939
  0.1780	  3.5557	  0.3631
  0.1820	  3.8467	  0.4197
  0.1860	  3.7936	  0.3739
  0.1900	  3.2929	  0.3387
  0.1940	  3.6697	  0.3331
  0.1980	  3.6154	  0.3717
  0.2020	  3.0352	  0.2775
  0.2060	  3.6011	  0.3540
  0.2100	  3.7895	  0.3206
  0.2140	  3.8715	  0.3568
  0.2180	  3.7419	  0.3563
  0.2220	  3.6539	  0.3181
  0.2260	  3.7534	  0.3298
  0.2300	  3.5875	  0.3663
  0.2340	  3.4980	  0.2979
  0.2380	  3.9016	  0.2957
  0.2420	  3.8271	  0.3976
  0.2460	  3.3542	  0.2469
  0.2500	  4.0049	  0.3762
  0.2540	  3.4118	  0.2448
  0.2580	  3.6671	  0.2338
  0.2620	  3.3516	  0.1999
  0.2660	  3.7723	  0.2556
  0.2700	  3.5611	  0.2486
  0.2740	  3.2341	  0.2242
  0.2780	  3.6602	  0.2205
  0.2820	  3.5010	  0.2176
  0.2860	  3.5429	  0.2093
  0.2900	  3.3971	  0.1922
  0.2940	  3.4329	  0.1857
  0.2980	  3.8019	  0.2095
  0.3020	  3.3951	  0.1570
  0.3060	  3.5632	  0.1944
  0.3100	  3.0958	  0.1582
  0.3140	  3.5316	  0.1739
  0.3180	  3.5515	  0.1526
  0.3220	  3.8246	  0.1873
  0.3260	  3.8335	  0.1470
  0.3300	  3.5071	  0.1716
  0.3340	  3.8224	  0.1569
  0.3380	  3.6636	  0.1511
  0.3420	  3.6303	  0.1414
  0.3460	  3.7823	  0.1280
  0.3500	  3.8990	  0.1523
  0.3540	  3.9799	  0.1443
  0.3580	  3.7589	  0.1564
  0.3620	  3.8579	  0.1534
  0.3660	  3.9365	  0.1261
  0.3700	  3.9488	  0.1282
  0.3740	  3.9521	  0.1501
  0.3780	  4.1605	  0.1344
  0.3820	  4.3870	  0.1486
  0.3860	  4.4245	  0.1424
  0.3900	  4.4363	  0.1553
  0.3940	  4.4949	  0.1709
  0.3980	  4.7203	  0.1450
  0.4020	  4.5788	  0.1594
  0.4060	  4.5747	  0.1419
  0.4100	  4.6781	  0.1389
  0.4140	  5.1759	  0.1574
  0.4180	  5.0097	  0.1562
  0.4220	  4.8970	  0.1427
  0.4260	  5.2084	  0.1638
  0.4300	  5.3055	  0.1549
  0.4340	  5.6801	  0.1602
  0.4380	  5.4506	  0.1608
  0.4420	  5.6072	  0.2043
  0.4460	  5.4027	  0.1524
  0.4500	  5.6559	  0.1757
  0.4540	  5.7262	  0.1584
  0.4580	  5.9907	  0.1582
  0.4620	  5.8393	  0.1847
  0.4660	  6.1996	  0.2033
  0.4700	  5.9856	  0.1846
  0.4740	  6.3620	  0.1998
  0.4780	  6.3992	  0.1992
  0.4820	  6.4946	  0.1884
  0.4860	  6.6646	  0.2301
  0.4900	  6.5549	  0.2015
  0.4940	  6.6449	  0.2066
  0.4980	  6.9384	  0.2330
  0.5020	  6.6415	  0.1866
  0.5060	  7.2114	  0.2042
  0.5100	  6.8618	  0.2440
  0.5140	  6.9421	  0.2062
  0.5180	  6.9910	  0.2140
  0.5220	  7.0317	  0.2123
  0.5260	  6.9585	  0.2038
  0.5300	  7.0009	  0.1755
  0.5340	  7.1419	  0.2047
  0.5380	  7.1570	  0.1966
  0.5420	  7.0384	  0.1761
  0.5460	  7.0556	  0.1656
  0.5500	  6.9083	  0.1508
  0.5540	  7.0291	  0.1389
  0.5580	  6.8115	  0.1233
  0.5620	  6.9306	  0.1208
  0.5660	  6.7451	  0.1070
  0.5700	  6.8194	  0.1072
  0.5740	  6.8705	  0.1062
  0.5780	  6.8866	  0.0928
  0.5820	  7.2170	  0.1027
  0.5860	  7.3466	  0.1028
  0.5900	  7.2870	  0.0949
  0.5940	  7.3541	  0.0984
  0.5980	  7.3420	  0.0898
  0.6020	  7.5042	  0.0891
  0.6060	  7.6934	  0.0945
  0.6100	  7.7453	  0.0893
  0.6140	  7.8784	  0.0878
  0.6180	  7.9641	  0.0851
  0.6220	  8.1657	  0.0927
  0.6260	  8.1891	  0.0958
  0.6300	  8.5261	  0.0962
  0.6340	  8.5134	  0.0978
  0.6380	  8.7366	  0.0934
  0.6420	  8.8870	  0.0955
  0.6460	  9.0145	  0.0994
  0.6500	  9.2608	  0.0957
  0.6540	  9.1224	  0.0999
  0.6580	  9.5764	  0.1065
  0.6620	  9.5840	  0.1002
  0.6660	  9.8718	  0.1034
  0.6700	 10.0198	  0.1013
  0.6740	  9.9620	  0.1074
  0.6780	 10.3848	  0.1127
  0.6820	 10.4537	  0.1101
  0.6860	 10.8072	  0.1177
  0.6900	 10.7887	  0.1093
  0.6940	 11.0198	  0.1297
  0.6980	 11.3495	  0.1223
  0.7020	 11.4339	  0.1186
  0.7060	 11.4914	  0.1202
  0.7100	 11.5753	  0.1288
  0.7140	 11.8412	  0.1398
  0.7180	 12.0577	  0.1379
  0.7220	 12.1828	  0.1361
  0.7260	 12.5136	  0.1366
  0.7300	 12.7138	  0.1533
  0.7340	 12.8543	  0.1433
  0.7380	 12.9694	  0.1528
  0.7420	 13.3392	  0.1807
  0.7460	 13.6706	  0.1858
  0.7500	 13.8375	  0.1814
  0.7540	 14.2331	  0.1713
  0.7580	 14.1218	  0.1936
  0.7620	 14.4828	  0.2399
  0.7660	 14.5625	  0.1677
  0.7700	 14.8617	  0.2106
  0.7740	 14.9254	  0.2203
  0.7780	 15.0652	  0.2080
  0.7820	 15.7518	  0.2118
  0.7860	 15.5563	  0.2096
  0.7900	 15.8973	  0.2492
  0.7940	 16.1075	  0.3153
  0.7980	 14.4033	  0.0952
