# distance (nm)	f (kT)	df (kT)
  0.0020	  6.5785	  0.4555
  0.0060	  3.6919	  0.1076
  0.0100	  2.7615	  0.0731
  0.0140	  2.1745	  0.0597
  0.0180	  1.6571	  0.0515
  0.0220	  1.2738	  0.0470
  0.0260	  0.9452	  0.0443
  0.0300	  0.6284	  0.0423
  0.0340	  0.5027	  0.0427
  0.0380	  0.3808	  0.0424
  0.0420	  0.2459	  0.0419
  0.0460	  0.1378	  0.0421
  0.0500	  0.0966	  0.0431
  0.0540	  0.0897	  0.0447
  0.0580	  0.0000	  0.0000
  0.0620	  0.0818	  0.0486
  0.0660	  0.2080	  0.0527
  0.0700	  0.2654	  0.0562
  0.0740	  0.3114	  0.0607
  0.0780	  0.4045	  0.0652
  0.0820	  0.7575	  0.0780
  0.0860	  0.6651	  0.0778
  0.0900	  0.9816	  0.0930
  0.0940	  1.2207	  0.1072
  0.0980	  1.5441	  0.1249
  0.1020	  1.7871	  0.1447
  0.1060	  1.9835	  0.1574
  0.1100	  2.3089	  0.1789
  0.1140	  2.3961	  0.1825
  0.1180	  2.2740	  0.1729
  0.1220	  2.9603	  0.2526
  0.1260	  3.2428	  0.2511
  0.1300	  3.2347	  0.2492
  0.1340	  3.2244	  0.2442
  0.1380	  3.8494	  0.2894
  0.1420	  4.2404	  0.3628
  0.1460	  3.8255	  0.2695
  0.1500	  4.0765	  0.3554
  0.1540	  3.9872	  0.3106
  0.1580	  3.7695	  0.2967
  0.1620	  4.5253	  0.3418
  0.1660	  4.5921	  0.4136
  0.1700	  4.4970	  0.3800
  0.1740	  4.0427	  0.2939
  0.1780	  4.5196	  0.3633
  0.1820	  4.8357	  0.4198
  0.1860	  4.8174	  0.3748
  0.1900	  4.3547	  0.3378
  0.1940	  4.7554	  0.3329
  0.1980	  4.7389	  0.3717
  0.2020	  4.1875	  0.2783
  0.2060	  4.7901	  0.3537
  0.2100	  5.0128	  0.3209
  0.2140	  5.1236	  0.3571
  0.2180	  5.0212	  0.3564
  0.2220	  4.9717	  0.3173
  0.2260	  5.0975	  0.3300
  0.2300	  4.9686	  0.3654
  0.2340	  4.9089	  0.2977
  0.2380	  5.3422	  0.2958
  0.2420	  5.3001	  0.3977
  0.2460	  4.8596	  0.2467
  0.2500	  5.5490	  0.3759
  0.2540	  4.9776	  0.2452
  0.2580	  5.2680	  0.2338
  0.2620	  4.9862	  0.2002
  0.2660	  5.4413	  0.2557
  0.2700	  5.2598	  0.2483
  0.2740	  4.9669	  0.2242
  0.2780	  5.4257	  0.2207
  0.2820	  5.2986	  0.2177
  0.2860	  5.3727	  0.2088
  0.2900	  5.2546	  0.1921
  0.2940	  5.3234	  0.1861
  0.2980	  5.7218	  0.2099
  0.3020	  5.3522	  0.1571
  0.3060	  5.5492	  0.1947
  0.3100	  5.1169	  0.1579
