# distance (nm)	f (kT)	df (kT)
  0.0020	  6.1703	  0.4482
  0.0060	  3.1078	  0.1053
  0.0100	  2.1201	  0.0700
  0.0140	  1.5137	  0.0561
  0.0180	  0.9759	  0.0473
  0.0220	  0.5894	  0.0426
  0.0260	  0.2894	  0.0396
  0.0300	  0.0333	  0.0374
  0.0340	  0.0021	  0.0373
  0.0380	  0.0000	  0.0000
  0.0420	  0.0005	  0.0373
  0.0460	  0.0584	  0.0376
  0.0500	  0.2377	  0.0390
  0.0540	  0.4746	  0.0411
  0.0580	  0.6883	  0.0428
  0.0620	  1.0718	  0.0478
  0.0660	  1.5262	  0.0556
  0.0700	  1.8356	  0.0647
  0.0740	  2.3372	  0.0779
  0.0780	  2.5858	  0.0911
  0.0820	  3.0951	  0.1193
  0.0860	  3.0656	  0.1171
  0.0900	  3.4478	  0.1435
  0.0940	  3.6868	  0.1713
  0.0980	  3.6598	  0.1634
  0.1020	  4.1869	  0.1997
  0.1060	  4.2265	  0.2141
  0.1100	  4.6657	  0.2481
  0.1140	  4.8050	  0.2690
  0.1180	  4.5701	  0.2110
  0.1220	  5.4094	  0.3235
  0.1260	  5.3678	  0.3225
  0.1300	  5.8995	  0.4316
  0.1340	  5.2821	  0.3130
  0.1380	  6.1653	  0.4603
  0.1420	  7.5318	  0.5726
  0.1460	  5.4518	  0.3245
  0.1500	  6.6486	  0.4407
  0.1540	  7.3195	  0.4585
  0.1580	  6.8457	  0.4816
  0.1620	  6.2889	  0.4396
  0.1660	  9.4080	  0.7203
  0.1700	  6.6302	  0.4985
  0.1740	  6.4728	  0.4801
  0.1780	  6.5402	  0.4905
  0.1820	  7.4538	  0.9139
  0.1860	  6.1873	  0.5918
  0.1900	  6.3891	  0.5008
  0.1940	  5.8734	  0.4304
  0.1980	  5.9443	  0.5044
  0.2020	  6.2265	  0.5466
  0.2060	  6.6381	  0.5718
  0.2100	  5.1906	  0.4076
  0.2140	  5.6066	  0.5366
  0.2180	  6.0896	  0.5360
  0.2220	  5.1148	  0.3990
  0.2260	  5.3289	  0.4354
  0.2300	  4.8857	  0.4235
  0.2340	  5.0737	  0.4523
  0.2380	  4.5513	  0.4010
  0.2420	  4.3683	  0.3940
  0.2460	  3.9320	  0.2993
  0.2500	  4.7491	  0.4461
  0.2540	  3.5001	  0.2872
  0.2580	  3.2302	  0.2566
  0.2620	  3.0319	  0.2392
  0.2660	  3.3119	  0.3034
  0.2700	  3.1218	  0.2695
  0.2740	  2.9123	  0.2730
  0.2780	  2.7421	  0.2348
  0.2820	  2.8174	  0.2730
  0.2860	  2.7211	  0.2413
  0.2900	  2.0307	  0.1918
  0.2940	  1.9182	  0.1795
  0.2980	  1.9369	  0.1947
  0.3020	  1.4779	  0.1534
  0.3060	  1.7621	  0.1838
  0.3100	  1.3666	  0.1551
  0.3140	  1.3692	  0.1569
  0.3180	  1.1379	  0.1420
  0.3220	  1.1523	  0.1437
  0.3260	  0.8901	  0.1306
  0.3300	  0.8006	  0.1297
  0.3340	  0.7479	  0.1269
  0.3380	  0.8578	  0.1324
  0.3420	  0.4437	  0.1103
  0.3460	  0.3717	  0.1070
  0.3500	  0.5783	  0.1186
  0.3540	  0.4623	  0.1148
  0.3580	  0.6354	  0.1197
  0.3620	  0.4341	  0.1136
  0.3660	  0.1789	  0.1008
  0.3700	  0.2134	  0.1019
  0.3740	  0.3265	  0.1079
  0.3780	  0.4432	  0.1133
  0.3820	  0.3350	  0.1093
  0.3860	  0.4064	  0.1120
  0.3900	  0.5457	  0.1175
  0.3940	  0.6798	  0.1234
  0.3980	  0.4837	  0.1134
  0.4020	  0.5198	  0.1169
  0.4060	  0.4221	  0.1098
  0.4100	  0.4428	  0.1096
  0.4140	  0.7690	  0.1255
  0.4180	  0.7518	  0.1233
  0.4220	  0.7204	  0.1205
  0.4260	  0.9451	  0.1364
  0.4300	  0.7681	  0.1238
  0.4340	  0.7908	  0.1280
  0.4380	  0.9361	  0.1284
  0.4420	  1.2054	  0.1491
  0.4460	  0.9135	  0.1233
  0.4500	  0.8527	  0.1252
  0.4540	  0.9943	  0.1290
  0.4580	  1.3263	  0.1458
  0.4620	  1.3978	  0.1526
  0.4660	  1.4572	  0.1554
  0.4700	  1.4245	  0.1524
  0.4740	  1.8078	  0.1744
  0.4780	  1.4895	  0.1519
  0.4820	  1.4714	  0.1517
  0.4860	  1.7149	  0.1664
  0.4900	  1.7468	  0.1676
  0.4940	  1.6899	  0.1596
  0.4980	  1.8373	  0.1762
  0.5020	  1.7446	  0.1611
  0.5060	  1.9358	  0.1734
  0.5100	  1.9795	  0.1792
  0.5140	  2.0825	  0.1757
  0.5180	  1.9008	  0.1631
  0.5220	  1.9485	  0.1621
  0.5260	  2.2454	  0.1862
  0.5300	  2.1422	  0.1726
  0.5340	  2.6892	  0.2114
  0.5380	  2.4588	  0.1912
  0.5420	  2.4447	  0.1810
  0.5460	  2.6180	  0.1944
  0.5500	  2.4351	  0.1641
  0.5540	  2.2557	  0.1578
  0.5580	  2.0880	  0.1318
  0.5620	  2.0933	  0.1337
  0.5660	  1.9281	  0.1144
  0.5700	  1.7876	  0.1091
  0.5740	  1.6293	  0.1018
  0.5780	  1.4753	  0.0950
  0.5820	  1.4221	  0.0918
  0.5860	  1.3598	  0.0902
  0.5900	  1.1156	  0.0815
  0.5940	  1.2256	  0.0834
  0.5980	  1.1510	  0.0791
  0.6020	  0.9788	  0.0740
  0.6060	  1.0742	  0.0768
  0.6100	  1.0503	  0.0735
  0.6140	  1.0681	  0.0731
  0.6180	  1.0198	  0.0708
  0.6220	  1.1079	  0.0725
  0.6260	  1.2462	  0.0745
  0.6300	  1.2964	  0.0749
  0.6340	  1.2384	  0.0721
  0.6380	  1.3836	  0.0745
  0.6420	  1.4418	  0.0742
  0.6460	  1.4739	  0.0745
  0.6500	  1.6010	  0.0756
  0.6540	  1.8191	  0.0801
  0.6580	  1.9539	  0.0828
  0.6620	  1.9723	  0.0807
  0.6660	  2.1016	  0.0826
  0.6700	  2.1400	  0.0822
  0.6740	  2.2974	  0.0840
  0.6780	  2.5472	  0.0902
  0.6820	  2.5053	  0.0871
  0.6860	  2.7555	  0.0920
  0.6900	  2.7926	  0.0917
  0.6940	  3.0305	  0.0993
  0.6980	  3.1105	  0.0994
  0.7020	  3.1971	  0.0991
  0.7060	  3.2557	  0.0976
  0.7100	  3.5149	  0.1055
  0.7140	  3.5872	  0.1056
  0.7180	  3.6022	  0.1049
  0.7220	  3.6188	  0.1011
  0.7260	  3.8651	  0.1094
  0.7300	  4.0770	  0.1158
  0.7340	  4.0801	  0.1133
  0.7380	  4.2634	  0.1187
  0.7420	  4.5387	  0.1281
  0.7460	  4.8473	  0.1417
  0.7500	  5.1138	  0.1532
  0.7540	  4.8723	  0.1360
  0.7580	  5.1399	  0.1447
  0.7620	  5.4992	  0.1660
  0.7660	  5.4854	  0.1547
  0.7700	  5.7676	  0.1714
  0.7740	  5.9223	  0.1780
  0.7780	  5.8221	  0.1657
  0.7820	  6.1940	  0.1867
  0.7860	  6.1564	  0.1745
  0.7900	  6.4762	  0.1976
  0.7940	  6.5459	  0.1996
  0.7980	  4.7170	  0.0724
