# distance (nm)	f (kT)	df (kT)
  0.0133	  1.0444	  0.0021
  0.0400	  0.0000	  0.0000
  0.0667	  1.3331	  0.0020
  0.0933	  3.8705	  0.0053
  0.1200	  5.6457	  0.0102
  0.1467	  6.9590	  0.0151
  0.1733	  7.7110	  0.0186
  0.2000	  7.7332	  0.0178
  0.2267	  7.2988	  0.0149
  0.2533	  6.5763	  0.0110
  0.2800	  5.8936	  0.0079
  0.3067	  5.3937	  0.0059
  0.3333	  5.2375	  0.0050
  0.3600	  5.3817	  0.0046
  0.3867	  5.8008	  0.0046
  0.4133	  6.4102	  0.0049
  0.4400	  7.1460	  0.0054
  0.4667	  7.9354	  0.0059
  0.4933	  8.7419	  0.0065
  0.5200	  9.5470	  0.0071
  0.5467	 10.1047	  0.0065
  0.5733	  9.8708	  0.0045
  0.6000	  9.7938	  0.0039
  0.6267	 10.3206	  0.0038
  0.6533	 11.3011	  0.0040
  0.6800	 12.4673	  0.0043
  0.7067	 13.7060	  0.0047
  0.7333	 14.9981	  0.0053
  0.7600	 16.4408	  0.0063
  0.7867	 17.6752	  0.0065
