# distance (nm)	f (kT)	df (kT)
  0.0133	  0.9224	  0.0021
  0.0400	  0.0000	  0.0000
  0.0667	  1.6973	  0.0022
  0.0933	  4.2964	  0.0065
  0.1200	  6.1813	  0.0123
  0.1467	  7.5763	  0.0187
  0.1733	  8.2300	  0.0233
  0.2000	  7.9616	  0.0222
  0.2267	  7.0706	  0.0185
  0.2533	  5.8205	  0.0132
  0.2800	  4.6419	  0.0091
  0.3067	  3.7128	  0.0066
  0.3333	  3.2097	  0.0054
  0.3600	  3.0728	  0.0049
  0.3867	  3.2641	  0.0050
  0.4133	  3.6777	  0.0053
  0.4400	  4.2351	  0.0058
  0.4667	  4.8468	  0.0064
  0.4933	  5.4743	  0.0071
  0.5200	  6.0976	  0.0077
  0.5467	  6.5662	  0.0075
  0.5733	  6.1926	  0.0050
  0.6000	  5.7750	  0.0041
  0.6267	  6.0113	  0.0040
  0.6533	  6.7602	  0.0042
  0.6800	  7.7304	  0.0045
  0.7067	  8.7822	  0.0050
  0.7333	  9.8619	  0.0056
  0.7600	 11.0964	  0.0068
  0.7867	 12.0697	  0.0068
