# distance (nm)	f (kT)	df (kT)
  0.0133	  1.6686	  0.0050
  0.0400	  0.4931	  0.0047
  0.0667	  1.1686	  0.0049
  0.0933	  3.1790	  0.0061
  0.1200	  4.9525	  0.0098
  0.1467	  5.9875	  0.0133
  0.1733	  6.5861	  0.0156
  0.2000	  6.6727	  0.0150
  0.2267	  6.4494	  0.0130
  0.2533	  6.0260	  0.0105
  0.2800	  5.5638	  0.0084
  0.3067	  5.1469	  0.0071
  0.3333	  4.9048	  0.0065
  0.3600	  4.8141	  0.0062
  0.3867	  4.8644	  0.0062
  0.4133	  5.0118	  0.0064
  0.4400	  5.2124	  0.0067
  0.4667	  5.4150	  0.0071
  0.4933	  5.5784	  0.0075
  0.5200	  5.6385	  0.0077
  0.5467	  5.0609	  0.0069
  0.5733	  4.1132	  0.0059
  0.6000	  3.5299	  0.0055
  0.6267	  3.3496	  0.0055
  0.6533	  3.4155	  0.0056
  0.6800	  3.5442	  0.0058
  0.7067	  3.6990	  0.0061
  0.7333	  3.9293	  0.0066
  0.7600	  4.2620	  0.0073
  0.7867	  0.0000	  0.0000
