# distance (nm)	f (kT)	df (kT)
  0.0133	  0.8651	  0.0024
  0.0400	  0.0000	  0.0000
  0.0667	  1.3642	  0.0022
  0.0933	  4.0478	  0.0055
  0.1200	  5.9392	  0.0107
  0.1467	  7.2709	  0.0156
  0.1733	  8.0245	  0.0187
  0.2000	  8.0578	  0.0178
  0.2267	  7.6258	  0.0149
  0.2533	  6.8980	  0.0110
  0.2800	  6.1513	  0.0080
  0.3067	  5.5021	  0.0060
  0.3333	  5.1126	  0.0050
  0.3600	  4.9509	  0.0046
  0.3867	  4.9916	  0.0047
  0.4133	  5.1663	  0.0049
  0.4400	  5.4207	  0.0054
  0.4667	  5.6762	  0.0059
  0.4933	  5.8945	  0.0065
  0.5200	  6.0554	  0.0070
  0.5467	  5.7972	  0.0062
  0.5733	  4.7657	  0.0045
  0.6000	  3.9696	  0.0039
  0.6267	  3.6820	  0.0038
  0.6533	  3.7377	  0.0040
  0.6800	  3.8993	  0.0044
  0.7067	  4.0793	  0.0048
  0.7333	  4.3086	  0.0054
  0.7600	  4.6636	  0.0064
  0.7867	  0.5308	  0.0050
