# distance (nm)	f (kT)	df (kT)
  0.0020	  5.6218	  0.0288
  0.0060	  3.6295	  0.0112
  0.0100	  2.6124	  0.0073
  0.0140	  1.9197	  0.0056
  0.0180	  1.4222	  0.0048
  0.0220	  1.0306	  0.0044
  0.0260	  0.7269	  0.0041
  0.0300	  0.4878	  0.0040
  0.0340	  0.2957	  0.0039
  0.0380	  0.1634	  0.0038
  0.0420	  0.0694	  0.0038
  0.0460	  0.0135	  0.0039
  0.0500	  0.0000	  0.0000
  0.0540	  0.0229	  0.0041
  0.0580	  0.0812	  0.0043
  0.0620	  0.1767	  0.0045
  0.0660	  0.3155	  0.0048
  0.0700	  0.4896	  0.0052
  0.0740	  0.6912	  0.0057
  0.0780	  0.9240	  0.0062
  0.0820	  1.1766	  0.0068
  0.0860	  1.4758	  0.0077
  0.0900	  1.7680	  0.0086
  0.0940	  2.0651	  0.0098
  0.0980	  2.3329	  0.0110
  0.1020	  2.6061	  0.0126
  0.1060	  2.8257	  0.0142
  0.1100	  3.0236	  0.0157
  0.1140	  3.2016	  0.0173
  0.1180	  3.3371	  0.0186
  0.1220	  3.4801	  0.0199
  0.1260	  3.6707	  0.0218
  0.1300	  3.7590	  0.0228
  0.1340	  3.9349	  0.0246
  0.1380	  4.0138	  0.0256
  0.1420	  4.0902	  0.0263
  0.1460	  4.2098	  0.0276
  0.1500	  4.2892	  0.0286
  0.1540	  4.3747	  0.0296
  0.1580	  4.4361	  0.0302
  0.1620	  4.5555	  0.0317
  0.1660	  4.6291	  0.0326
  0.1700	  4.6245	  0.0322
  0.1740	  4.7283	  0.0336
  0.1780	  4.7769	  0.0341
  0.1820	  4.8204	  0.0345
  0.1860	  4.7861	  0.0335
  0.1900	  4.8015	  0.0333
  0.1940	  4.7699	  0.0326
  0.1980	  4.8353	  0.0331
  0.2020	  4.8129	  0.0322
  0.2060	  4.8177	  0.0320
  0.2100	  4.8657	  0.0324
  0.2140	  4.7422	  0.0300
  0.2180	  4.7290	  0.0293
  0.2220	  4.7512	  0.0292
