# distance (nm)	f (kT)	df (kT)
  0.0020	  4.3911	  0.0330
  0.0060	  2.4852	  0.0136
  0.0100	  1.5771	  0.0095
  0.0140	  0.9977	  0.0080
  0.0180	  0.6364	  0.0073
  0.0220	  0.4056	  0.0069
  0.0260	  0.2799	  0.0067
  0.0300	  0.2442	  0.0066
  0.0340	  0.2806	  0.0065
  0.0380	  0.4028	  0.0065
  0.0420	  0.5918	  0.0065
  0.0460	  0.8517	  0.0066
  0.0500	  1.1852	  0.0067
  0.0540	  1.5780	  0.0069
  0.0580	  2.0374	  0.0071
  0.0620	  2.5437	  0.0076
  0.0660	  3.0819	  0.0085
  0.0700	  3.6364	  0.0097
  0.0740	  4.1293	  0.0114
  0.0780	  4.6063	  0.0133
  0.0820	  5.0507	  0.0152
  0.0860	  5.4634	  0.0173
  0.0900	  5.8400	  0.0192
  0.0940	  6.1726	  0.0211
  0.0980	  6.5548	  0.0231
  0.1020	  6.9510	  0.0260
  0.1060	  7.2389	  0.0282
  0.1100	  7.6334	  0.0310
  0.1140	  7.9210	  0.0333
  0.1180	  8.1955	  0.0349
  0.1220	  8.5077	  0.0375
  0.1260	  8.8827	  0.0419
  0.1300	  9.0782	  0.0440
  0.1340	  9.4182	  0.0473
  0.1380	  9.6580	  0.0504
  0.1420	  9.8169	  0.0525
  0.1460	  9.9943	  0.0559
  0.1500	 10.2655	  0.0554
  0.1540	 10.3447	  0.0583
  0.1580	 10.6089	  0.0591
  0.1620	 10.7485	  0.0652
  0.1660	 10.7739	  0.0668
  0.1700	 10.9688	  0.0680
  0.1740	 10.9805	  0.0647
  0.1780	 11.0149	  0.0679
  0.1820	 11.1517	  0.0678
  0.1860	 10.8826	  0.0651
  0.1900	 10.9990	  0.0666
  0.1940	 11.0264	  0.0642
  0.1980	 10.9414	  0.0638
  0.2020	 10.9068	  0.0633
  0.2060	 10.8066	  0.0623
  0.2100	 10.7283	  0.0615
  0.2140	 10.4912	  0.0562
  0.2180	 10.3847	  0.0562
  0.2220	 10.2350	  0.0548
  0.2260	 10.1613	  0.0525
  0.2300	 10.1211	  0.0508
  0.2340	  9.9142	  0.0488
  0.2380	  9.7031	  0.0454
  0.2420	  9.5480	  0.0433
  0.2460	  9.3452	  0.0406
  0.2500	  9.1155	  0.0387
  0.2540	  9.0161	  0.0368
  0.2580	  8.7737	  0.0346
  0.2620	  8.5726	  0.0323
  0.2660	  8.3677	  0.0303
  0.2700	  8.2536	  0.0294
  0.2740	  8.0855	  0.0278
  0.2780	  7.9449	  0.0264
  0.2820	  7.7165	  0.0245
  0.2860	  7.5991	  0.0236
  0.2900	  7.3946	  0.0220
  0.2940	  7.2762	  0.0211
  0.2980	  7.0949	  0.0199
  0.3020	  6.9708	  0.0190
  0.3060	  6.8562	  0.0183
  0.3100	  6.6996	  0.0173
  0.3140	  6.6192	  0.0170
  0.3180	  6.5164	  0.0162
  0.3220	  6.4562	  0.0159
  0.3260	  6.3351	  0.0153
  0.3300	  6.2657	  0.0150
  0.3340	  6.2106	  0.0146
  0.3380	  6.1245	  0.0142
  0.3420	  6.0858	  0.0140
  0.3460	  6.0711	  0.0139
  0.3500	  5.9920	  0.0136
  0.3540	  5.9654	  0.0134
  0.3580	  5.9750	  0.0134
  0.3620	  5.9632	  0.0133
  0.3660	  5.9179	  0.0131
  0.3700	  5.8952	  0.0130
  0.3740	  5.9269	  0.0131
  0.3780	  5.9561	  0.0132
  0.3820	  5.9485	  0.0131
  0.3860	  5.9672	  0.0132
  0.3900	  5.9690	  0.0132
  0.3940	  6.0007	  0.0133
  0.3980	  6.0215	  0.0133
  0.4020	  6.0591	  0.0135
  0.4060	  6.1027	  0.0136
  0.4100	  6.1301	  0.0137
  0.4140	  6.1890	  0.0139
  0.4180	  6.2306	  0.0141
  0.4220	  6.2380	  0.0141
  0.4260	  6.3055	  0.0144
  0.4300	  6.3754	  0.0147
  0.4340	  6.3985	  0.0148
  0.4380	  6.4426	  0.0150
  0.4420	  6.5151	  0.0154
  0.4460	  6.5557	  0.0156
  0.4500	  6.5901	  0.0157
  0.4540	  6.6253	  0.0159
  0.4580	  6.7019	  0.0163
  0.4620	  6.7307	  0.0165
  0.4660	  6.7698	  0.0167
  0.4700	  6.8462	  0.0172
  0.4740	  6.8860	  0.0174
  0.4780	  6.8825	  0.0173
  0.4820	  6.9399	  0.0178
  0.4860	  6.9956	  0.0181
  0.4900	  7.0319	  0.0184
  0.4940	  7.0643	  0.0186
  0.4980	  7.0906	  0.0189
  0.5020	  7.1407	  0.0193
  0.5060	  7.1739	  0.0195
  0.5100	  7.1704	  0.0195
  0.5140	  7.2398	  0.0201
  0.5180	  7.2614	  0.0203
  0.5220	  7.2928	  0.0206
  0.5260	  7.3011	  0.0207
  0.5300	  7.3233	  0.0210
  0.5340	  7.3533	  0.0211
  0.5380	  7.3425	  0.0209
  0.5420	  7.3122	  0.0208
  0.5460	  7.2750	  0.0202
  0.5500	  7.2529	  0.0198
  0.5540	  7.1866	  0.0188
  0.5580	  7.0431	  0.0174
  0.5620	  6.8873	  0.0161
  0.5660	  6.7132	  0.0148
  0.5700	  6.5314	  0.0138
  0.5740	  6.3138	  0.0129
  0.5780	  6.1105	  0.0121
  0.5820	  5.9183	  0.0115
  0.5860	  5.7686	  0.0111
  0.5900	  5.5995	  0.0106
  0.5940	  5.4703	  0.0103
  0.5980	  5.3322	  0.0100
  0.6020	  5.2242	  0.0098
  0.6060	  5.1221	  0.0096
  0.6100	  5.0397	  0.0095
  0.6140	  4.9772	  0.0094
  0.6180	  4.9351	  0.0093
  0.6220	  4.8816	  0.0093
