# distance (nm)	f (kT)	df (kT)
  0.0020	  6.6284	  0.0327
  0.0060	  4.7025	  0.0131
  0.0100	  3.7642	  0.0089
  0.0140	  3.1442	  0.0072
  0.0180	  2.7265	  0.0065
  0.0220	  2.4203	  0.0060
  0.0260	  2.2054	  0.0058
  0.0300	  2.0588	  0.0056
  0.0340	  1.9640	  0.0056
  0.0380	  1.9327	  0.0055
  0.0420	  1.9433	  0.0055
  0.0460	  2.0001	  0.0056
  0.0500	  2.1034	  0.0057
  0.0540	  2.2449	  0.0058
  0.0580	  2.4289	  0.0060
  0.0620	  2.6579	  0.0062
  0.0660	  2.9382	  0.0065
  0.0700	  3.2564	  0.0069
  0.0740	  3.6021	  0.0073
  0.0780	  3.9745	  0.0080
  0.0820	  4.3617	  0.0089
  0.0860	  4.7629	  0.0101
  0.0900	  5.1341	  0.0117
  0.0940	  5.4665	  0.0134
  0.0980	  5.7753	  0.0152
  0.1020	  6.0756	  0.0172
  0.1060	  6.2899	  0.0189
  0.1100	  6.5379	  0.0206
  0.1140	  6.7382	  0.0222
  0.1180	  6.9011	  0.0234
  0.1220	  7.1047	  0.0250
  0.1260	  7.3365	  0.0274
  0.1300	  7.4785	  0.0285
  0.1340	  7.7073	  0.0310
  0.1380	  7.8348	  0.0319
  0.1420	  7.9504	  0.0332
  0.1460	  8.0779	  0.0346
  0.1500	  8.2168	  0.0358
  0.1540	  8.3083	  0.0370
  0.1580	  8.4569	  0.0379
  0.1620	  8.5331	  0.0393
  0.1660	  8.6470	  0.0406
  0.1700	  8.7058	  0.0402
  0.1740	  8.7222	  0.0414
  0.1780	  8.8169	  0.0424
  0.1820	  8.8498	  0.0422
  0.1860	  8.7660	  0.0410
  0.1900	  8.8158	  0.0407
  0.1940	  8.7913	  0.0398
  0.1980	  8.8232	  0.0404
  0.2020	  8.8224	  0.0395
  0.2060	  8.8043	  0.0389
  0.2100	  8.7846	  0.0390
  0.2140	  8.6238	  0.0359
  0.2180	  8.6107	  0.0353
  0.2220	  8.5864	  0.0350
  0.2260	  8.5372	  0.0338
  0.2300	  8.5080	  0.0329
  0.2340	  8.4417	  0.0321
  0.2380	  8.2924	  0.0298
  0.2420	  8.2435	  0.0289
  0.2460	  8.1714	  0.0278
  0.2500	  8.0681	  0.0266
  0.2540	  8.0268	  0.0258
  0.2580	  7.9321	  0.0247
  0.2620	  7.7980	  0.0231
  0.2660	  7.7055	  0.0220
  0.2700	  7.6657	  0.0214
  0.2740	  7.5797	  0.0204
  0.2780	  7.5071	  0.0195
  0.2820	  7.4005	  0.0185
  0.2860	  7.3545	  0.0180
  0.2900	  7.2553	  0.0170
  0.2940	  7.1968	  0.0164
  0.2980	  7.0921	  0.0156
  0.3020	  7.0302	  0.0150
  0.3060	  6.9850	  0.0146
  0.3100	  6.8915	  0.0140
  0.3140	  6.8644	  0.0136
  0.3180	  6.8109	  0.0132
  0.3220	  6.7955	  0.0131
  0.3260	  6.7243	  0.0126
  0.3300	  6.6954	  0.0123
  0.3340	  6.6572	  0.0121
